"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05225","hsa05225","Hepatocellular carcinoma","74/2744","168/8586",0.000609343143381333,0.00477554975161649,0.00359490079693761,"7042/7482/10000/54361/8503/1647/7483/2948/2949/2947/83439/7475/80326/8324/7476/7048/7474/5290/1857/51176/7478/5295/7015/1026/51384/1021/6604/8321/4233/51412/8326/1956/8323/7046/6595/8322/572/7481/595/3481/10023/23401/7479/119391/8325/4257/7480/81029/7296/5925/7043/6655/207/8110/3480/4088/5579/1728/6605/5578/2535/71/7484/6603/1869/10297/4616/7040/5582/25759/8193/7477/3162/653689",74
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","90/2744","212/8586",0.000742623714189772,0.00568782253822621,0.00428163433300802,"164091/148327/253152/3725/10000/5567/4853/8503/1141/2948/2949/2947/1545/109/604/5290/993/3836/111/776/55584/7364/7363/2247/1950/4790/108/8817/5295/85315/3326/6196/2099/196/9586/107/64764/1956/8823/778/6197/114/26281/9314/10488/3717/774/90993/572/595/2249/5970/119391/2253/153/4257/7421/10728/112/775/688/5925/2254/8600/2353/6655/207/1136/1143/54852/1543/113/5579/23746/990/5578/3838/409/332/6776/182/1137/1869/1555/10683/79852/5582/84699/27006/653689",90
"hsa04668","hsa04668","TNF signaling pathway","53/2744","114/8586",0.000778273023816992,0.00582840020058503,0.00438745728046538,"7133/1435/148327/3725/5743/10000/8503/8837/843/5290/6372/3600/6374/2921/4790/3659/5295/1906/7128/9586/64764/10488/7186/330/8986/90993/329/5970/1326/840/355/192111/2353/4323/207/4792/7187/197259/6376/8717/64127/5608/9020/6347/182/4318/83737/602/3383/3726/84699/3976/5600",53
"hsa04713","hsa04713","Circadian entrainment","46/2744","97/8586",0.00100369875784271,0.00735318437810856,0.00553527232586026,"3765/2786/9722/5567/55970/8863/109/111/776/2982/5593/817/108/2890/815/107/2792/117/114/2902/3762/2977/5331/2785/5592/112/4842/775/2353/54331/5330/6263/2775/113/5579/2793/5578/51655/8913/116/5332/2788/5582/6261/8911/3763",46
"hsa04927","hsa04927","Cortisol synthesis and secretion","33/2744","65/8586",0.00120293719506085,0.0085252267680703,0.00641755318164905,"148327/5567/109/5443/3777/57552/111/776/108/8622/9586/107/64764/778/190/114/6770/10488/2516/90993/5331/3164/112/775/5330/5151/113/8913/5332/2767/84699/8911/56246",33
"hsa04814","hsa04814","Motor proteins","82/2744","193/8586",0.00121427562275185,0.0085252267680703,0.00641755318164905,"22920/55083/9928/11004/343521/57576/23046/58/200132/79819/127602/126820/4632/1781/72/7277/4648/4634/7134/25981/22989/56992/1062/4651/10112/285643/1767/221458/3834/4646/58498/8701/6990/24137/84376/7169/27019/11258/113220/81930/4647/3799/3832/9585/59/10376/4640/7846/4637/55860/26153/70/9493/4644/7168/1783/146439/10381/3835/55567/3801/4620/146909/71/124602/51168/4635/4642/80022/84617/10627/103910/4645/10398/7125/4542/7137/10382/7138/7171/84700/4627",82
"hsa04218","hsa04218","Cellular senescence","68/2744","156/8586",0.0013907663789625,0.00956506672878294,0.00720031573211522,"7042/9261/286826/10000/8503/824/1647/3552/7048/22808/5290/993/776/5530/890/5481/3576/4790/10111/8878/891/5295/3105/2309/3134/1026/5054/28996/1021/3486/292/5533/9134/2626/1030/7046/1111/595/5970/4361/10114/2113/23411/983/59341/894/5501/4193/2305/8900/5925/7043/207/9133/4088/5934/5608/4773/5933/4605/1869/898/55957/6237/4616/7040/11200/5600",68
"hsa04925","hsa04925","Aldosterone synthesis and secretion","45/2744","98/8586",0.00254487205149115,0.0171524376270503,0.0129118771454604,"477/148327/5567/4878/481/4881/493/5581/109/5443/3777/111/776/491/817/108/815/9586/107/64764/778/114/51305/6770/10488/5138/3762/90993/5331/57118/3164/112/775/5330/113/5579/5578/482/8913/5332/2767/5582/84699/478/8911",45
"hsa04978","hsa04978","Mineral absorption","30/2744","60/8586",0.0026772190771008,0.0176906437055485,0.0133170236858884,"477/481/493/30061/79901/6546/491/10568/6550/26872/261729/538/9843/140803/142680/7421/540/6547/4502/4493/4499/4494/4501/4496/4495/482/113235/6543/478/3162",30
"hsa00603","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","11/2744","16/8586",0.00275304536791749,0.0177101950914156,0.0133317414244297,"127550/8706/10690/2717/6482/26301/6489/2524/2523/53947/10317",11
"hsa04540","hsa04540","Gap junction","41/2744","88/8586",0.002785282907552,0.0177101950914156,0.0133317414244297,"5567/109/7277/10746/111/5156/56034/2982/5593/1950/108/1812/5159/2911/107/1956/3358/114/1902/80310/2977/5331/5592/153/983/10376/7846/112/6655/57369/5330/113/10381/5579/5578/84617/5332/2767/10382/5582/5155",41
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","29/2744","58/8586",0.0031310979250801,0.0195403703842962,0.0147094463926765,"5743/10000/5567/4878/8503/134/4881/109/3667/5290/11343/111/4886/5593/108/5295/107/8471/114/2167/5742/364/11145/5592/153/112/8660/207/113",29
"hsa05215","hsa05215","Prostate cancer","44/2744","97/8586",0.00375669292002385,0.0230182820736007,0.0173275214110191,"148327/10000/8503/83439/5290/5156/56034/51176/1950/4790/5159/5295/3326/1026/9586/64764/1956/4824/5327/9134/2260/10488/80310/90993/572/595/5970/5328/6935/4193/3479/5925/6655/207/4792/3480/2064/4318/1869/898/84699/5155/7113/2078",44
"hsa03430","hsa03430","Mismatch repair","14/2744","23/8586",0.00399228315028162,0.0235991690758572,0.0177647969616792,"6118/9156/4436/2956/5984/6119/5982/10714/5985/5983/6117/5111/5424/3978",14
"hsa04072","hsa04072","Phospholipase D signaling pathway","63/2744","148/8586",0.0040209633534337,0.0235991690758572,0.0177647969616792,"23566/10000/553/8503/5899/109/8527/3579/22808/5290/5337/2912/111/5156/56034/3815/3576/1950/108/5159/2149/5295/2911/2914/9265/107/2918/1607/9162/2913/1956/139189/2846/2185/114/6850/5900/1902/80310/5331/9846/10411/4254/1606/112/160851/6655/207/5330/113/5578/146850/8877/23533/551/5332/8612/56848/6237/25759/9266/5155/56894",63
"hsa04115","hsa04115","p53 signaling pathway","35/2744","74/8586",0.00406157806053329,0.0235991690758572,0.0177647969616792,"2810/7161/1647/6241/9540/64393/901/891/64065/1026/54205/5054/1021/3486/9134/8795/8797/575/1111/595/143686/355/983/894/25946/317/4193/3479/7057/9133/5366/898/4616/51512/11200",35
"hsa04350","hsa04350","TGF-beta signaling pathway","48/2744","108/8586",0.00418390081125836,0.0238978741253232,0.0179896538004151,"7042/10637/7044/64388/656/4681/4052/151449/130399/659/7048/6498/93/375387/658/5308/3400/653/3624/7036/3547/392255/1030/7046/2615/25805/4838/3626/1634/4093/652/7043/7057/4091/4088/2200/26585/56963/64750/9241/4092/650/655/5933/8200/60436/7040/2014",48
"hsa04974","hsa04974","Protein digestion and absorption","46/2744","103/8586",0.00445958951202388,0.0250480277592008,0.0188554574104869,"255631/477/1307/481/1301/1290/1281/1803/3769/6546/1295/1294/84570/6550/91522/81578/1303/117247/8645/1297/1278/1287/1288/7373/1306/85301/1289/3784/10008/5222/1308/1305/1280/6564/1284/1282/23428/6547/482/1277/1299/50509/3783/6543/478/80781",46
"hsa04064","hsa04064","NF-kappa B signaling pathway","46/2744","104/8586",0.00556306959904636,0.0307336795881742,0.0231354576940496,"128178/142/5743/3932/1647/10913/3554/8837/7535/2921/3576/4790/7128/84433/60401/1896/695/6850/7186/7099/330/329/7189/5970/5328/6387/5588/29760/4791/4055/51135/10673/8600/4792/7187/8717/5579/9020/10892/8792/3929/958/3383/4616/115650/29775",46
"hsa04371","hsa04371","Apelin signaling pathway","59/2744","139/8586",0.00566197471844577,0.0307755722599391,0.0231669933301431,"6548/2786/10000/5567/55970/5581/109/6546/22808/4634/30849/4638/111/10891/100506013/6696/108/4208/1958/1490/107/5054/2792/51422/8862/114/5327/7046/5331/2785/595/7019/59/643246/112/4842/207/54331/6547/5330/6263/4088/4205/113/81631/2793/146850/8877/23533/4635/4843/182/5332/84557/2788/56848/6237/6261/6543",59
"hsa04670","hsa04670","Leukocyte transendothelial migration","50/2744","115/8586",0.00596703765986398,0.0319189157360978,0.0240276704432284,"149461/50848/8503/5906/4688/998/1496/3676/7852/9475/5010/9076/10686/5290/399/3702/5295/58498/1365/1364/9075/4267/83692/2185/7410/6494/7070/90952/3688/6387/10411/5829/9071/87/394/4313/9080/5579/5578/71/10627/103910/10398/4318/7409/3383/5582/5600/7122/5880",50
"hsa04380","hsa04380","Osteoclast differentiation","57/2744","135/8586",0.00736409416238111,0.038776558323788,0.0291899127160172,"1435/7042/3725/10000/8503/3932/4688/3716/2274/3554/3552/2355/7048/5290/5468/4286/5530/4790/7006/8878/1436/5295/695/27035/5533/6850/7186/7046/8061/9846/7189/5970/29760/4791/6773/8600/2353/207/4792/487/8651/489/5608/9020/3690/8792/4773/140885/3727/3726/7040/126014/54/7297/2354/5600/3454",57
"hsa04924","hsa04924","Renin secretion","32/2744","69/8586",0.00839080537175371,0.0428256830565685,0.0322379809983852,"5567/4878/134/1907/9635/4881/111/776/5530/2982/5593/5734/1906/5137/358/117/778/5533/1508/2977/5331/3778/153/5153/112/775/5732/5330/3759/1636/116/5332",32
"hsa05031","hsa05031","Amphetamine addiction","32/2744","69/8586",0.00839080537175371,0.0428256830565685,0.0322379809983852,"148327/3725/5567/111/776/5530/817/1812/2890/815/9586/64764/4129/4128/23237/5533/10488/2902/90993/7054/6571/23411/5501/775/2353/5579/84152/5578/5173/5582/84699/2354",32
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","43/2744","98/8586",0.00851430494002994,0.0428256830565685,0.0322379809983852,"4803/4914/5567/8503/1573/5581/3554/109/3556/5290/3269/111/817/108/5734/2150/5295/815/107/9311/3358/114/5331/5029/5588/41/59341/5501/112/3479/5732/624/5330/113/5579/5608/5578/162514/40/51393/5332/5582/5600",43
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","51/2744","120/8586",0.00936102997229134,0.0463529563515442,0.0348932140581669,"148327/10000/5567/8503/109/3667/5290/111/776/108/2690/5295/112609/9586/107/2692/3486/64764/778/8471/114/10488/3717/90993/5331/112/775/3479/8660/2353/6751/6655/207/5330/113/5579/8651/6755/5608/5578/6776/6752/2689/5332/2767/3726/5582/25759/84699/6753/5600",51
"hsa05030","hsa05030","Cocaine addiction","24/2744","49/8586",0.00949066465358026,0.0463529563515442,0.0348932140581669,"148327/3725/5567/2912/111/4790/1812/9586/2913/64764/4129/4128/10488/2902/26086/627/90993/7054/5970/6571/84152/5173/84699/2354",24
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation","13/2744","23/8586",0.0127616252966384,0.0613176618242256,0.0461582273922798,"477/481/4190/2744/10991/8671/6550/358/27165/762/482/1468/478",13
"hsa05212","hsa05212","Pancreatic cancer","34/2744","76/8586",0.0129185578324036,0.0613176618242256,0.0461582273922798,"7042/10000/8503/1647/3716/998/5899/7048/5290/5337/1950/4790/5295/1026/1021/1956/9459/5900/7046/572/595/5970/5925/675/7043/207/5888/4088/2064/5881/1869/4616/7040/5880",34
"hsa05033","hsa05033","Nicotine addiction","20/2744","40/8586",0.0131183474457511,0.0614011540169181,0.0462210779886843,"2563/1141/2554/2568/2890/2566/2561/2569/2570/2556/55879/2902/774/57084/2558/2562/2567/1137/140679/57030",20
"hsa00601","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","15/2744","28/8586",0.0143254429419017,0.0661325242660394,0.0497827216870701,"8707/10678/8706/84002/10402/10690/2651/2683/2526/6489/2524/2523/10331/53947/10317",15
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","25/2744","53/8586",0.0145387538221758,0.0662102707847736,0.0498412471002044,"477/5567/481/493/6546/5745/491/1212/2099/793/5331/7421/112/624/6547/5330/5579/5578/482/5332/3816/5582/6543/478/8218",25
"hsa04068","hsa04068","FoxO signaling pathway","54/2744","131/8586",0.0153212269663121,0.0688433798352956,0.0518233782299118,"7042/1263/10000/8503/1647/10018/3667/7048/604/5290/901/80854/1950/10733/3575/6502/10769/891/5295/2309/2911/6446/1026/51422/1956/8471/114907/1030/7046/595/23411/664/23710/894/4193/116986/3479/8660/2290/7043/6655/207/9133/3480/4088/11345/5347/5934/10110/4616/7040/1032/3276/5600",54
"hsa04970","hsa04970","Salivary secretion","40/2744","93/8586",0.0159182439187982,0.0705848447451974,0.0531343044934954,"6548/477/1131/5567/481/493/109/111/491/952/2982/5593/108/6558/147/107/148/114/2977/5331/5592/3778/153/362/112/4842/5330/6263/113/5579/5578/482/6844/1471/1469/5332/54831/5582/3783/478",40
"hsa03460","hsa03460","Fanconi anemia pathway","25/2744","54/8586",0.0190214424867607,0.0832496898446539,0.0626680470172157,"7398/6118/29089/55120/3280/84126/2177/5980/5429/2178/6119/2187/80010/2189/80198/675/57697/5888/641/55215/116028/2175/79728/6117/672",25
"hsa04971","hsa04971","Gastric acid secretion","33/2744","76/8586",0.0231444010276331,0.0999956813629789,0.0752739628564045,"6548/477/1131/5567/481/389015/109/4638/111/817/108/3274/815/107/114/3784/5331/112/54207/5330/113/5579/5578/482/3759/71/3773/6752/5332/5582/478/495/3772",33
"hsa05161","hsa05161","Hepatitis B","64/2744","162/8586",0.0244440817117016,0.104274120719537,0.0784946527984022,"7042/148327/3725/10000/3339/8503/3716/6775/843/7048/5290/890/7097/3576/4790/7098/5295/1026/9586/54205/64764/537/1960/2185/9134/10488/3717/7046/7099/90993/572/7189/5970/1959/355/317/51135/6773/8900/5925/2353/7043/6655/207/4792/7187/4088/5579/5608/5578/332/6776/4773/4318/1869/5111/898/7040/5582/84699/3718/7297/5600/3454",64
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","18/2744","37/8586",0.0250435274099065,0.105495859214231,0.0794143434972036,"477/2810/8503/481/3667/5290/5295/6446/6337/3479/6340/3291/5579/9351/5578/482/5582/478",18
"hsa04611","hsa04611","Platelet activation","50/2744","124/8586",0.0294199216884066,0.122401402580161,0.0921403655218453,"10000/5567/8503/5906/1281/109/9475/5028/5290/4638/111/2982/5593/108/3673/2149/5295/107/1278/695/114/6850/7094/5742/23365/10235/2977/5331/6786/5592/3688/5501/112/207/5330/83660/10125/113/5023/146850/71/1277/3674/23533/3690/10627/103910/5332/6915/5600",50
"hsa04918","hsa04918","Thyroid hormone synthesis","32/2744","75/8586",0.0326386999269763,0.134137096041354,0.100974668580248,"8458/477/148327/5567/481/7173/4036/109/111/108/493869/9586/107/64764/7038/114/10488/3309/90993/5331/112/5330/113/5579/5578/482/432/5332/5582/84699/6528/478",32
"hsa05210","hsa05210","Colorectal cancer","36/2744","86/8586",0.0332361455205094,0.134946759523032,0.10158416069046,"7042/3725/10000/8503/1647/4436/83439/5899/10018/2956/7048/5290/51176/374/1950/5295/1026/54205/1956/5900/7046/572/595/2353/7043/6655/207/4088/332/5881/1630/5366/10297/4616/7040/5880",36
"hsa04270","hsa04270","Vascular smooth muscle contraction","53/2744","134/8586",0.0370919944754933,0.148805472774562,0.112016613895578,"4879/553/5567/4878/1907/5320/4881/5581/10203/10267/109/72/9475/4638/27094/111/776/2982/108/147/3779/1906/10268/107/800/778/148/114/23365/2977/5331/10335/796/5592/3778/5588/59/5501/4637/112/775/5330/113/5579/5578/10266/10398/551/5332/2767/5582/50487/4627",53
"hsa01524","hsa01524","Platinum drug resistance","31/2744","73/8586",0.0375325376434355,0.148805472774562,0.112016613895578,"10000/8503/2948/2949/2947/4436/2956/5290/5295/5980/5429/1026/54205/538/7507/330/572/329/119391/355/4257/317/4193/540/207/7153/332/2064/672/5366/653689",31
"hsa04921","hsa04921","Oxytocin signaling pathway","60/2744","154/8586",0.0380462447870016,0.149088191781623,0.112229436886994,"3765/3725/5743/5567/4878/4881/109/9475/785/9254/4638/5021/111/776/5530/952/2982/817/108/4208/815/1026/107/51422/1956/778/114/5533/3762/2977/5331/595/57118/5501/4637/784/112/775/2353/5330/6263/2775/113/5579/27091/5578/27092/146850/3759/71/23533/4773/10398/5332/5582/59284/59285/6261/3763/1827",60
"hsa04260","hsa04260","Cardiac muscle contraction","36/2744","87/8586",0.0397038099487934,0.152642331246904,0.114904894051238,"6548/7388/477/845/481/440567/6546/785/4634/9254/7134/776/10345/778/1537/7169/784/775/6547/70/9377/7168/487/489/27091/27092/482/4635/7137/125965/59284/59285/6543/478/7171/3270",36
"hsa04724","hsa04724","Glutamatergic synapse","46/2744","115/8586",0.0409196801426271,0.152642331246904,0.114904894051238,"2899/2786/5567/55970/109/2744/5337/2912/111/776/10991/5530/108/2890/2911/2898/2914/107/2918/2792/2913/114/5533/2902/57084/2900/5331/2785/22941/27165/112/775/54331/5330/2775/113/5579/2793/5578/9229/5332/2788/57030/5582/50944/157",46
"hsa04726","hsa04726","Serotonergic synapse","46/2744","115/8586",0.0409196801426271,0.152642331246904,0.114904894051238,"3765/2786/260293/5743/3352/5567/1573/55970/3362/111/776/3781/3350/2561/1843/3354/3351/3751/2792/4129/778/4128/3358/5742/774/3762/5331/2785/3359/6571/3363/10411/775/54331/2562/5330/2775/5579/2793/5578/242/246/5332/2788/5582/3763",46
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","33/2744","79/8586",0.0415040348318277,0.152642331246904,0.114904894051238,"10000/8503/3570/3716/10018/5290/5156/56034/2247/3791/1950/5159/253314/5295/2309/4233/1956/3084/3717/80310/572/3479/2621/6655/207/3480/5579/5578/2064/558/5582/25759/5155",33
"hsa04728","hsa04728","Dopaminergic synapse","52/2744","132/8586",0.0415812064493521,0.152642331246904,0.114904894051238,"3765/2786/148327/10000/5567/55970/6323/111/776/5522/5530/817/1812/2890/815/9586/2792/64764/4129/4128/5533/10488/774/5526/3762/90993/5331/406/2785/7054/3799/6571/50632/5501/775/2353/207/54331/5330/2775/5579/84152/2793/5578/409/2774/5332/2788/5582/84699/5600/3763",52
"hsa03410","hsa03410","Base excision repair","20/2744","44/8586",0.0416709034858017,0.152642331246904,0.114904894051238,"142/4595/10039/5984/55247/5982/10714/2237/5985/7374/5426/5983/55775/5427/4913/3980/11232/5111/5424/3978",20
"hsa05203","hsa05203","Viral carcinogenesis","77/2744","204/8586",0.0443124540996434,0.160573086361074,0.120874945534964,"148327/9261/3725/991/5567/8349/8503/3716/998/6672/8850/2960/5290/890/4790/6502/5295/3572/2966/3105/3134/8344/8348/8363/8362/8340/8345/8970/8294/85236/1026/85477/9586/1021/64764/9734/286436/10013/1960/9134/6850/10488/7186/1030/2934/90993/572/1111/595/5970/1959/4791/983/894/4055/4193/5829/8900/5925/87/4792/7187/9093/8717/5934/9114/6776/5366/5933/11317/898/3249/84699/718/3718/5902/83933",77
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","8/2744","14/8586",0.0452917995495392,0.162375919661646,0.122232068213202,"10678/93010/9435/6482/2683/2530/4166/10164",8
"hsa04640","hsa04640","Hematopoietic cell lineage","40/2744","99/8586",0.0461172147300576,0.16359475120031,0.123149570636497,"1435/947/911/3570/1380/1378/912/3554/3676/3552/926/925/952/3815/3672/3673/3575/1436/100133941/3117/3119/3123/948/2056/1438/3590/960/966/3678/4254/920/290/930/3675/924/3674/3690/3589/2208/945",40
"hsa04210","hsa04210","Apoptosis","53/2744","136/8586",0.0486484816780907,0.170776440890798,0.128555746539691,"3725/142/1520/4803/10000/4914/4000/8503/824/1647/10018/7277/9451/8837/843/10039/5290/4790/4001/5295/1616/54205/1508/8795/8797/7186/6709/330/572/1075/8722/329/5970/5551/840/355/10376/7846/317/2353/207/4792/1512/8717/332/9020/2081/71/5414/5366/84823/4616/1439",53
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","18/2744","40/8586",0.0572121794102282,0.19876808722935,0.149627078001791,"1491/26227/55349/29958/501/4129/212/4128/2731/1757/113675/2653/8639/314/51268/23464/875/102724560",18
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","74/2744","198/8586",0.0588680523594328,0.201647585636324,0.15179468417415,"7100/149461/3725/10092/998/10096/3554/4691/7277/10109/9475/7456/5861/5010/9076/10686/5062/3059/9871/3576/4790/4651/2149/4646/9265/54205/57180/1365/1364/653857/644150/5063/9075/2846/8795/8797/1902/7186/7099/23365/6188/3606/5058/2017/837/7189/5970/3688/840/355/10376/4640/7846/51135/9071/2353/4792/4644/9080/29108/8717/10381/71/10458/4642/9368/84617/4645/4542/10382/9266/5600/7122/4627",74
"hsa04370","hsa04370","VEGF signaling pathway","25/2744","59/8586",0.0592377180355965,0.201647585636324,0.15179468417415,"9261/5743/10000/9047/8503/998/5290/5530/3791/5295/3315/5533/572/5829/207/5579/5578/8877/5881/4773/56848/5582/25759/5600/5880",25
"hsa01522","hsa01522","Endocrine resistance","39/2744","98/8586",0.060725169246014,0.204643820359067,0.15405016619252,"1031/3725/10000/5567/4853/8503/8647/109/5290/111/108/5295/1839/2099/1026/107/2852/1956/114/572/595/112/4193/3479/5925/2353/6655/207/3714/3480/4313/113/2064/182/4318/1869/10683/25759/5600",39
"hsa04520","hsa04520","Adherens junction","37/2744","93/8586",0.0666625098740184,0.222428374530141,0.167437883060328,"9411/81607/5906/998/83439/9855/1496/9475/7048/57493/51176/2241/55698/58498/4233/1956/6591/2260/7046/5795/10580/5787/87/3480/4088/64750/2064/71/10458/5881/5797/10627/103910/6615/10398/54922/5880",37
"hsa04150","hsa04150","mTOR signaling pathway","59/2744","156/8586",0.0685280145331382,0.226411185271251,0.170436032017403,"64121/7482/10000/54361/8503/7483/7475/80326/23175/8324/3667/7476/7474/5290/1857/57600/253260/253314/6502/96459/7478/5295/6196/6446/51384/8321/8326/10325/6197/64798/8323/79899/8322/7481/7479/8325/7480/1975/8408/6249/81029/3479/81617/6655/207/3480/8140/5579/5578/2535/9706/7484/220441/9663/81929/9675/64900/5582/7477",59
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","53/2744","139/8586",0.0707697045325722,0.231547479878416,0.174302491490546,"3725/10000/8503/4688/2948/2949/2947/3554/659/3685/3552/2817/93/5290/658/3791/4790/8878/4208/1843/5295/1906/3326/858/857/27035/6383/5327/5970/119391/4257/59341/2353/652/207/4205/4313/1728/5608/71/3674/5881/6347/3690/6385/4318/7056/3383/5155/5600/3162/653689/5880",53
"hsa05142","hsa05142","Chagas disease","40/2744","102/8586",0.0719041533254417,0.232997112218018,0.175393734326229,"7042/3725/10000/8503/8837/7048/5290/5522/7097/3576/10333/4790/5295/107/5054/9630/7046/7099/5331/7189/5970/355/51135/2353/7043/624/207/4792/5330/2775/1636/6347/4843/2774/5332/2769/2767/7040/718/5600",40
"hsa00561","hsa00561","Glycerolipid metabolism","26/2744","63/8586",0.0748707066732061,0.240299315703528,0.180890629656568,"23175/116255/129642/8527/150763/11343/501/154141/346606/1607/9162/139189/2717/2710/4023/1056/84649/196051/1606/160851/224/9388/9663/64900/8612/56894",26
"hsa00410","hsa00410","beta-Alanine metabolism","14/2744","31/8586",0.0852925885959313,0.270159663324552,0.203368667378469,"1806/2571/1962/8310/501/57571/222/35/51380/4329/8639/314/224/51",14
"hsa03320","hsa03320","PPAR signaling pathway","30/2744","75/8586",0.0861796063006076,0.270159663324552,0.203368667378469,"1376/33/1593/1962/1582/5468/8310/79966/2180/23305/2172/4199/2173/948/2182/2710/4023/2167/123/364/1374/4312/3611/10580/4973/7316/11001/51/51129/440503",30
"hsa05144","hsa05144","Malaria","21/2744","50/8586",0.0865793579793815,0.270159663324552,0.203368667378469,"7042/7059/2532/1378/2995/7097/3576/7060/948/4233/6383/7099/3606/4035/7043/7057/3040/6347/958/3383/7040",21
"hsa04530","hsa04530","Tight junction","63/2744","170/8586",0.0884999503956019,0.273619112690989,0.205972844474554,"911/149461/3725/50848/5567/10092/5906/57530/912/998/5581/10096/58538/7277/10109/9475/5010/9076/10686/51421/3059/776/5522/11346/153562/3308/11149/79778/51422/57180/1365/1364/653857/9075/154796/2626/54566/154810/5962/2017/595/1740/3688/10376/7846/4637/9071/87/123720/4734/9080/50855/2064/71/3993/9368/10627/103910/10398/5111/7122/4627/861",63
"hsa05230","hsa05230","Central carbon metabolism in cancer","28/2744","70/8586",0.0949935754636288,0.291025772102208,0.219076092696024,"10000/4914/8503/3417/2744/5290/5156/3815/5159/5295/4233/2645/1956/2260/3939/80201/5979/5214/3098/27165/57103/3945/207/3091/4916/8140/2064/9123",28
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","10/2744","21/8586",0.0980830221863838,0.297783589881183,0.224163189634125,"126792/79586/166012/337876/10090/54480/55790/9469/51363/55454",10
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","16/2744","37/8586",0.0989799523284047,0.297823606559575,0.224193313074676,"64802/23057/284958/316/952/5167/4907/93100/4837/55191/23411/25961/4860/56953/554235/27231",16
"hsa05220","hsa05220","Chronic myeloid leukemia","30/2744","76/8586",0.100340630967708,0.299245952532014,0.225264015493411,"7042/10000/8503/1647/7048/2122/5290/4790/5295/1026/1021/7046/572/595/9846/5970/1488/4193/5925/7043/6655/207/4792/4088/6776/1869/4616/7040/25759/861",30
"hsa04330","hsa04330","Notch signaling pathway","25/2744","62/8586",0.101641428636231,0.300466328512368,0.226182680529379,"26508/4853/23385/6868/8850/3280/1857/23493/6310/113878/23462/441478/7091/84441/1488/1840/3714/83464/182/11317/83737/79816/7089/10683/9253",25
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","39/2744","102/8586",0.104852425327806,0.307263194221483,0.231299171661338,"10000/5567/8503/10459/64682/699/109/5290/993/111/4085/890/132864/108/80315/995/891/5295/3326/6196/107/6197/114/387778/983/112/3479/8900/207/9133/3480/9088/5347/113/3835/6790/994/51343/5600",39
"hsa05135","hsa05135","Yersinia infection","51/2744","137/8586",0.108341230208873,0.310153427226879,0.233474858540303,"3725/10000/8503/10092/3932/998/10096/2335/3676/10109/9475/7535/7456/926/925/5290/3576/4790/64283/5295/6196/57180/653857/644150/6197/2185/7410/7186/7099/23365/3606/7189/5970/3688/3678/920/5829/51135/2353/207/4792/29108/5608/71/10458/5881/6347/4773/7409/5600/5880",51
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","11/2744","24/8586",0.109279433836211,0.310153427226879,0.233474858540303,"2134/126792/64579/9348/3340/222537/90161/2131/9956/9955/9953",11
"hsa04977","hsa04977","Vitamin digestion and absorption","11/2744","24/8586",0.109279433836211,0.310153427226879,0.233474858540303,"25974/338/80704/8884/151056/9227/8029/113235/113278/6948/6573",11
"hsa05145","hsa05145","Toxoplasmosis","42/2744","111/8586",0.109520052937681,0.310153427226879,0.233474858540303,"3915/3918/7042/3914/10000/3716/3913/7097/4790/3117/3119/3908/3123/54205/22798/3912/3717/10319/7099/330/572/329/7189/5970/3688/10105/51135/7043/207/4792/2775/8651/5608/146850/23533/4843/3911/79444/958/7040/7297/5600",42
"hsa04211","hsa04211","Longevity regulating pathway","34/2744","89/8586",0.124722555208345,0.350262509210101,0.263667857940448,"148327/10000/5567/8503/109/3667/5290/5468/111/10891/4790/108/253314/5295/2309/9586/107/51422/64764/8471/114/10488/90993/143686/5970/23411/8408/112/3479/8660/207/3480/113/84699",34
"hsa04919","hsa04919","Thyroid hormone signaling pathway","45/2744","121/8586",0.126814086448839,0.350729922325683,0.264019713510821,"6548/477/10000/54361/5567/4853/8503/481/3685/8850/5290/5295/5350/10231/117247/2099/9282/90390/2626/5331/572/595/51196/5214/23389/4193/9882/652/207/3091/1734/1735/5330/487/5579/489/5578/482/113026/71/3690/5332/5582/478/1827",45
