"Geneid","SK7A-1","SK7A-2","SK7A-3","SK8A-1","SK8A-2","SK8A-3","Wi-1","Wi-2","Wi-3"
"ENSG00000162512",1261,806,1423,757,1024,1133,1637,979,1130
"ENSG00000158006",262,175,216,187,172,192,316,163,183
"ENSG00000214812",0,0,0,0,0,0,0,0,0
"ENSG00000126698",2176,2405,1318,1948,1067,2203,2601,1034,1480
"ENSG00000229447",0,1,7,2,2,3,2,6,2
"ENSG00000229607",0,0,3,0,2,0,0,2,0
"ENSG00000130766",0,0,0,0,0,0,0,0,0
"ENSG00000168528",720,822,565,761,545,721,946,615,628
"ENSG00000196581",227,130,74,27,23,54,268,114,79
"ENSG00000169403",49,31,46,22,21,39,87,26,30
"ENSG00000084628",2171,1773,1137,708,964,1282,2078,627,787
"ENSG00000060688",1941,2014,1263,1069,961,1575,2272,999,1111
"ENSG00000171612",718,749,523,425,568,559,885,553,399
"ENSG00000270927",0,0,0,0,0,0,0,0,0
"ENSG00000188910",22,28,8,18,10,19,10,16,18
"ENSG00000230523",0,0,0,0,0,2,2,0,0
"ENSG00000116138",319,234,396,242,293,361,347,316,184
"ENSG00000158161",554,454,390,334,338,583,652,316,230
"ENSG00000142684",362,579,284,387,319,409,409,393,292
"ENSG00000121769",424,430,193,300,169,470,296,102,214
"ENSG00000142627",999,755,794,610,992,817,976,1779,574
"ENSG00000284668",0,0,2,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0
"ENSG00000142632",1350,1245,1318,1097,1093,1526,1298,749,1197
"ENSG00000234593",0,0,0,0,0,0,0,0,0
"ENSG00000158292",460,338,524,281,330,437,444,270,414
"ENSG00000270605",0,0,0,0,0,0,0,0,0
"ENSG00000189337",291,197,215,169,206,290,329,243,198
"ENSG00000235084",0,3,0,1,0,1,2,5,1
"ENSG00000235143",0,0,0,0,0,0,0,0,0
"ENSG00000225478",0,1,0,0,0,0,0,0,0
"ENSG00000225077",299,178,237,180,234,299,343,238,239
"ENSG00000028137",75,30,61,38,56,68,66,43,45
"ENSG00000204464",0,0,0,0,0,0,0,0,0
"ENSG00000233372",0,0,0,0,0,0,0,0,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0
"ENSG00000284543",1,0,2,0,2,0,0,2,2
"ENSG00000130939",3133,2008,2006,1573,1592,2505,3101,1322,1593
"ENSG00000175147",47,37,49,22,55,62,35,27,77
"ENSG00000127472",0,0,0,0,2,4,0,0,4
"ENSG00000060656",1303,901,1349,855,1183,1121,1712,1436,1126
"ENSG00000163867",110,123,111,172,121,131,107,187,99
"ENSG00000232768",0,0,0,0,0,0,0,0,0
"ENSG00000230214",0,0,0,0,0,0,0,0,0
"ENSG00000189280",2,2,0,2,3,6,2,10,12
"ENSG00000134698",339,222,375,244,321,311,355,353,283
"ENSG00000134690",1281,1025,892,702,693,996,1309,939,810
"ENSG00000272420",0,8,2,6,0,0,0,2,2
"ENSG00000132881",62,30,76,39,83,78,64,83,31
"ENSG00000273274",82,110,117,123,82,120,67,50,106
"ENSG00000116251",3065,3266,2524,2514,1866,3009,3371,2092,2172
"ENSG00000272510",17,5,15,11,17,17,20,15,6
"ENSG00000158286",81,144,139,188,109,167,97,133,134
"ENSG00000236648",0,0,0,0,0,0,0,0,0
"ENSG00000232273",0,0,0,0,0,0,0,0,0
"ENSG00000009709",0,4,0,4,2,0,51,1,2
"ENSG00000287396",0,0,0,0,0,0,0,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,0
"ENSG00000158008",26,30,53,28,47,45,27,49,49
"ENSG00000130940",300,181,201,135,112,243,307,205,170
"ENSG00000116771",217,170,124,93,163,106,191,112,116
"ENSG00000237301",3,1,0,0,12,2,0,4,2
"ENSG00000163879",269,285,263,284,237,362,314,169,273
"ENSG00000227527",4,7,2,0,1,2,0,0,0
"ENSG00000116954",167,163,113,158,143,240,156,125,112
"ENSG00000228589",120,210,129,91,175,298,159,71,86
"ENSG00000163873",133,19,38,78,59,137,92,33,82
"ENSG00000117215",0,0,0,0,0,0,0,0,0
"ENSG00000196449",798,929,481,542,640,777,868,724,476
"ENSG00000230163",21,27,11,13,3,13,8,7,4
"ENSG00000227538",0,0,0,0,0,0,0,0,0
"ENSG00000236500",0,0,0,0,0,0,0,0,0
"ENSG00000044012",0,0,0,0,0,0,0,0,0
"ENSG00000179051",475,309,259,220,188,275,432,138,179
"ENSG00000215895",4,4,0,1,2,1,3,0,3
"ENSG00000284650",0,0,0,0,0,1,0,0,0
"ENSG00000237329",0,0,0,1,0,0,0,0,0
"ENSG00000236948",0,0,2,0,3,0,2,2,0
"ENSG00000126067",2855,3290,1987,2226,1721,2670,3164,1979,2070
"ENSG00000274944",0,0,0,0,0,0,0,0,0
"ENSG00000132906",325,312,364,278,299,441,418,249,354
"ENSG00000197312",1464,840,894,585,801,1087,1303,861,722
"ENSG00000284748",0,0,0,0,0,0,0,0,0
"ENSG00000272078",115,106,39,83,93,92,134,120,100
"ENSG00000173660",5080,6658,3270,4619,3125,5538,5662,3037,4143
"ENSG00000224592",35,14,16,25,24,8,28,31,7
"ENSG00000233728",67,41,58,48,48,94,78,53,59
"ENSG00000230451",0,0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,0,0,0,0,0,0,0
"ENSG00000215900",0,0,0,0,0,0,0,0,0
"ENSG00000284632",0,0,0,0,0,0,0,0,0
"ENSG00000241014",5,0,4,3,3,0,0,0,4
"ENSG00000054118",4949,3115,3150,2815,2125,3881,4946,2153,2814
"ENSG00000254553",0,0,0,2,0,0,0,0,0
"ENSG00000284653",0,0,0,0,0,0,0,0,0
"ENSG00000237749",0,0,0,2,0,0,3,1,0
"ENSG00000276747",0,0,0,0,0,0,0,0,0
"ENSG00000284705",0,0,0,0,1,8,0,4,2
"ENSG00000228776",0,0,0,0,0,0,0,0,0
"ENSG00000159339",0,0,2,2,0,0,0,0,0
"ENSG00000197982",1183,1315,637,784,841,984,1102,931,775
"ENSG00000261781",0,0,0,0,0,0,0,0,0
"ENSG00000183317",44,16,56,5,43,51,22,15,14
"ENSG00000183386",519,452,461,385,389,407,408,366,279
"ENSG00000284743",0,0,0,0,0,0,0,0,0
"ENSG00000158315",4,5,6,4,4,7,18,14,24
"ENSG00000204084",497,363,581,270,361,481,473,440,369
"ENSG00000186973",11,8,17,24,7,20,15,8,4
"ENSG00000146463",2208,1222,1460,1174,1584,1966,2379,1391,1236
"ENSG00000183520",1007,932,749,750,567,832,1130,749,600
"ENSG00000271741",0,0,0,0,0,0,0,0,0
"ENSG00000214141",0,0,1,0,0,0,0,1,0
"ENSG00000142686",397,372,214,179,257,376,315,287,266
"ENSG00000224751",0,2,0,0,0,0,0,0,0
"ENSG00000117148",39,40,12,12,12,24,9,2,5
"ENSG00000230585",0,2,0,0,6,0,0,0,0
"ENSG00000117000",683,424,488,403,380,590,620,382,398
"ENSG00000284989",0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0
"ENSG00000092853",1015,633,630,485,392,767,773,402,479
"ENSG00000255811",0,2,0,4,0,5,0,2,4
"ENSG00000134697",2684,2155,1576,2020,1401,1860,2648,1359,1616
"ENSG00000187513",62,76,6,11,12,32,53,12,23
"ENSG00000238145",0,0,0,0,0,0,0,0,0
"ENSG00000225142",0,0,0,0,0,0,0,0,0
"ENSG00000230138",0,0,0,0,0,0,0,0,0
"ENSG00000223390",134,91,36,51,68,97,95,42,118
"ENSG00000284720",0,1,1,6,5,1,1,0,5
"ENSG00000225671",0,1,0,0,0,0,2,0,0
"ENSG00000116151",91,77,144,70,155,91,81,116,94
"ENSG00000226147",0,0,0,0,0,0,0,0,0
"ENSG00000006555",5,6,7,25,13,18,12,20,22
"ENSG00000236111",0,0,0,0,0,0,0,0,0
"ENSG00000066056",42,22,54,76,168,69,46,329,78
"ENSG00000214114",329,350,203,212,159,231,432,281,227
"ENSG00000116544",531,516,270,378,387,480,429,318,302
"ENSG00000231900",0,0,0,0,0,0,0,0,0
"ENSG00000236723",376,290,325,234,206,361,384,241,240
"ENSG00000232467",0,0,0,0,0,0,0,0,0
"ENSG00000117016",957,560,1939,379,1521,874,1389,1352,860
"ENSG00000121310",131,153,166,140,180,171,135,283,209
"ENSG00000169213",1701,1199,1723,780,1467,1997,1602,1020,1167
"ENSG00000163866",812,884,515,431,486,686,866,504,582
"ENSG00000225779",0,0,0,0,0,0,0,0,0
"ENSG00000284601",0,0,2,0,0,0,0,0,0
"ENSG00000237130",0,0,0,0,0,0,0,0,0
"ENSG00000143001",7,6,12,6,6,11,24,29,20
"ENSG00000227416",0,0,0,0,0,0,0,0,0
"ENSG00000232335",75,36,57,39,23,74,62,33,46
"ENSG00000260971",0,2,0,0,0,4,0,0,2
"ENSG00000259832",0,0,0,0,0,0,0,0,0
"ENSG00000284696",0,0,0,0,0,0,0,0,0
"ENSG00000238242",0,0,0,0,0,0,0,0,2
"ENSG00000285839",0,0,0,0,0,0,0,0,0
"ENSG00000237290",2,2,0,0,0,1,2,0,4
"ENSG00000232762",0,0,1,2,0,0,3,2,0
"ENSG00000117419",1578,1752,999,1000,860,1219,1602,794,1007
"ENSG00000162384",773,721,707,670,603,740,648,510,561
"ENSG00000162391",43,53,23,33,44,21,53,47,30
"ENSG00000174348",2,0,10,2,17,11,4,18,6
"ENSG00000117859",1408,1232,1472,1166,1307,1382,1626,1130,1056
"ENSG00000228121",0,0,1,4,0,0,0,0,0
"ENSG00000253313",97,94,122,76,165,153,166,212,99
"ENSG00000162396",259,149,244,110,217,267,281,226,209
"ENSG00000203995",13,13,63,19,59,52,27,51,51
"ENSG00000284686",0,0,0,2,1,0,0,0,3
"ENSG00000162378",527,311,402,263,331,587,619,335,355
"ENSG00000233079",0,0,0,0,0,0,0,0,0
"ENSG00000259818",0,0,6,0,0,2,1,0,0
"ENSG00000229444",0,0,0,0,0,0,1,0,0
"ENSG00000240563",21320,16229,7383,12626,9920,12543,14926,10169,7696
"ENSG00000234318",0,0,0,0,0,0,0,0,0
"ENSG00000284773",1,4,7,4,1,2,1,9,4
"ENSG00000234481",0,0,0,0,0,0,0,0,0
"ENSG00000117862",231,148,252,137,176,229,260,178,186
"ENSG00000235612",0,0,0,0,0,0,0,0,0
"ENSG00000228369",3,0,1,0,2,4,0,0,0
"ENSG00000183431",4890,3831,2136,2139,1607,3328,4698,1530,2395
"ENSG00000227485",0,0,0,0,0,0,0,0,0
"ENSG00000224609",8,0,17,2,18,11,5,24,5
"ENSG00000235545",15,9,4,0,4,2,6,2,15
"ENSG00000236646",0,0,0,0,0,0,0,0,0
"ENSG00000232198",0,0,0,0,0,0,0,0,0
"ENSG00000238063",0,0,0,0,0,0,0,0,0
"ENSG00000227104",0,0,0,0,0,0,0,0,0
"ENSG00000243725",20,6,14,4,5,8,8,8,14
"ENSG00000171872",0,0,0,0,0,0,2,0,0
"ENSG00000162407",555,387,579,470,599,894,548,472,566
"ENSG00000285079",0,0,0,0,0,0,0,0,0
"ENSG00000169218",10,5,12,2,0,2,2,12,14
"ENSG00000163877",506,374,230,235,218,328,451,187,236
"ENSG00000228929",137,184,112,132,56,142,138,116,96
"ENSG00000224570",0,0,0,0,0,0,0,0,0
"ENSG00000224980",0,0,0,0,0,0,0,0,0
"ENSG00000278967",6,2,0,0,1,0,2,3,0
"ENSG00000157184",702,555,710,487,541,709,811,503,635
"ENSG00000198815",923,747,736,506,620,684,892,695,572
"ENSG00000134744",1067,612,973,587,668,1074,912,770,727
"ENSG00000233910",0,0,0,0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,0,0,0,0
"ENSG00000283039",2,0,4,0,2,0,0,2,0
"ENSG00000229032",0,0,0,0,0,0,0,0,0
"ENSG00000229294",0,0,0,0,0,0,0,0,0
"ENSG00000232993",0,0,1,1,7,0,0,7,2
"ENSG00000234088",0,0,0,0,0,0,0,0,0
"ENSG00000236973",0,0,0,0,0,0,0,0,0
"ENSG00000277397",0,0,0,0,0,0,0,0,0
"ENSG00000271200",0,17,8,6,3,1,0,1,4
"ENSG00000235446",0,0,0,0,0,0,0,0,0
"ENSG00000261196",0,0,0,0,0,0,0,0,0
"ENSG00000162385",1262,1384,806,1036,656,1012,1358,721,887
"ENSG00000234264",0,4,2,0,8,0,1,0,0
"ENSG00000242391",4,1,2,2,3,5,1,4,1
"ENSG00000223883",0,0,0,0,0,0,0,0,0
"ENSG00000284808",0,0,0,0,0,0,0,0,0
"ENSG00000237227",5,4,9,15,20,13,2,2,1
"ENSG00000275350",0,0,0,0,1,0,0,0,0
"ENSG00000116652",7,6,7,1,4,4,0,2,3
"ENSG00000123080",0,0,0,0,0,0,0,0,1
"ENSG00000285778",0,0,0,0,0,0,0,0,0
"ENSG00000233407",0,0,0,0,0,0,0,0,0
"ENSG00000225675",5,3,3,6,5,11,7,12,4
"ENSG00000237622",0,0,0,0,0,0,0,0,0
"ENSG00000162598",2,4,0,7,2,6,14,8,0
"ENSG00000280317",0,0,0,0,0,0,0,1,0
"ENSG00000162415",179,103,84,67,76,153,174,87,116
"ENSG00000162600",119,128,141,132,94,116,172,79,118
"ENSG00000116704",113,48,110,59,131,76,105,116,82
"ENSG00000227644",0,0,0,0,1,0,0,0,0
"ENSG00000157193",1955,1182,1330,936,1415,1663,1306,1232,1151
"ENSG00000116205",314,257,281,194,243,293,325,222,211
"ENSG00000198841",51,65,28,54,27,55,45,28,28
"ENSG00000116212",1196,1134,737,542,626,946,1269,593,749
"ENSG00000234204",0,0,0,0,0,0,0,0,0
"ENSG00000233099",0,0,0,0,0,0,0,0,0
"ENSG00000233994",3,2,5,0,0,1,5,1,0
"ENSG00000233973",0,0,0,0,0,0,0,0,0
"ENSG00000237552",0,0,0,0,0,0,0,0,0
"ENSG00000132854",18,7,9,5,4,14,17,20,22
"ENSG00000227556",0,0,0,0,0,0,0,0,0
"ENSG00000162607",2130,1326,1477,708,1003,1459,1901,1144,1064
"ENSG00000233602",2,3,4,0,4,0,3,0,0
"ENSG00000233271",7,3,4,14,2,5,11,7,6
"ENSG00000285954",0,0,0,0,0,0,0,0,8
"ENSG00000233333",0,0,0,0,0,0,0,0,0
"ENSG00000154027",125,92,160,84,127,128,125,137,67
"ENSG00000234108",0,0,0,0,0,0,0,0,0
"ENSG00000232676",0,0,0,0,0,0,0,0,0
"ENSG00000225167",0,0,0,0,0,0,0,0,0
"ENSG00000213579",0,0,0,0,0,0,0,0,0
"ENSG00000137960",22,16,17,23,30,18,40,37,15
"ENSG00000237852",2,0,0,0,0,0,1,0,0
"ENSG00000116745",0,0,0,0,0,0,0,0,0
"ENSG00000132855",0,0,0,0,2,6,0,3,2
"ENSG00000285407",1,0,7,6,9,5,2,23,6
"ENSG00000272855",0,2,2,0,0,4,9,0,0
"ENSG00000270549",0,0,0,0,0,2,0,0,0
"ENSG00000237163",0,0,0,0,0,0,0,0,0
"ENSG00000229636",0,0,0,0,0,0,0,2,0
"ENSG00000116675",97,66,99,111,77,110,139,95,54
"ENSG00000162433",4707,3267,1428,2387,1582,2260,5193,1964,1528
"ENSG00000213625",406,387,356,327,325,388,420,446,418
"ENSG00000227207",0,0,0,0,0,0,0,0,0
"ENSG00000227016",0,1,0,1,0,0,0,0,0
"ENSG00000233664",0,0,0,0,0,0,0,0,0
"ENSG00000158966",1366,775,1590,845,1180,1789,1392,1015,1320
"ENSG00000213703",0,2,0,0,0,0,0,0,0
"ENSG00000203965",74,54,50,42,51,61,34,23,41
"ENSG00000223479",0,0,0,0,0,0,0,0,0
"ENSG00000233674",0,0,0,0,0,0,0,0,0
"ENSG00000153898",73,55,60,57,70,104,48,107,56
"ENSG00000117069",170,91,120,86,113,89,172,96,100
"ENSG00000125703",504,394,418,314,284,334,477,404,270
"ENSG00000285041",0,0,0,0,0,0,0,0,0
"ENSG00000285808",2,0,2,3,3,0,1,1,1
"ENSG00000229440",0,0,0,0,0,0,0,0,0
"ENSG00000234144",0,0,0,0,0,0,0,0,0
"ENSG00000213540",0,0,0,1,0,2,0,0,0
"ENSG00000277670",0,0,0,0,0,0,0,0,0
"ENSG00000227466",0,0,0,0,0,0,0,0,0
"ENSG00000154007",0,0,0,0,0,0,0,0,0
"ENSG00000230498",5,2,1,0,2,1,0,0,0
"ENSG00000285782",0,0,0,0,0,0,0,0,0
"ENSG00000162618",23,6,28,7,14,12,23,1,2
"ENSG00000224493",0,0,0,0,0,0,0,0,0
"ENSG00000131233",0,0,0,0,0,0,0,0,0
"ENSG00000272371",0,0,0,0,0,0,0,0,2
"ENSG00000287647",0,0,0,0,0,0,0,0,0
"ENSG00000229225",0,0,0,0,0,0,0,0,0
"ENSG00000230863",0,0,10,0,4,0,0,0,1
"ENSG00000287224",0,0,0,0,0,0,0,0,0
"ENSG00000225598",0,0,0,0,0,2,0,0,0
"ENSG00000286455",0,0,0,0,0,0,0,0,0
"ENSG00000225087",3,0,19,7,19,12,2,18,3
"ENSG00000280378",4,0,0,3,10,4,0,0,0
"ENSG00000188786",269,195,190,136,161,233,240,143,126
"ENSG00000230053",0,0,0,0,0,0,0,0,0
"ENSG00000137941",94,76,141,104,130,147,101,127,102
"ENSG00000224326",0,0,2,1,0,0,0,0,0
"ENSG00000286548",19,10,31,2,11,12,12,33,15
"ENSG00000066135",1402,1202,1175,1030,1175,1436,1475,912,835
"ENSG00000230027",0,0,0,0,0,0,0,0,0
"ENSG00000233061",0,0,0,0,2,0,0,0,0
"ENSG00000272094",0,0,0,0,0,0,0,0,0
"ENSG00000228853",0,0,0,0,0,0,0,0,0
"ENSG00000215874",0,0,0,0,0,0,0,2,0
"ENSG00000232453",0,0,3,0,2,0,2,2,6
"ENSG00000260386",0,0,0,0,1,0,0,0,0
"ENSG00000284895",0,0,0,0,0,0,0,0,0
"ENSG00000117174",524,333,422,340,440,512,531,522,291
"ENSG00000237413",0,0,0,0,0,0,0,0,0
"ENSG00000184313",2,0,2,4,0,2,0,0,0
"ENSG00000284645",0,0,0,0,0,0,0,0,0
"ENSG00000225605",0,0,0,0,0,0,0,0,0
"ENSG00000225446",2,0,2,0,0,1,0,3,2
"ENSG00000288543",1,0,0,0,1,0,0,1,2
"ENSG00000122420",4,2,10,0,4,6,4,20,0
"ENSG00000284240",0,0,0,0,0,2,0,0,0
"ENSG00000236290",0,0,2,0,0,0,0,2,2
"ENSG00000143013",1551,1539,1606,1337,1455,1528,2109,1538,1242
"ENSG00000226084",353,490,269,389,231,405,357,216,251
"ENSG00000134748",1530,1351,1039,971,846,1210,1756,995,902
"ENSG00000142892",435,271,432,375,397,393,495,504,376
"ENSG00000219102",21,14,12,14,10,6,19,9,5
"ENSG00000184005",542,409,315,185,280,362,640,167,278
"ENSG00000230953",4,0,0,0,2,0,0,0,3
"ENSG00000287743",8,2,5,3,6,0,0,5,2
"ENSG00000229332",0,0,0,0,0,0,0,0,0
"ENSG00000227937",0,0,0,0,0,0,0,0,0
"ENSG00000229752",0,0,0,1,0,0,0,0,0
"ENSG00000237505",3,2,16,4,11,2,2,7,0
"ENSG00000285462",0,0,0,4,0,0,0,0,0
"ENSG00000233216",0,0,0,0,0,0,0,0,0
"ENSG00000197273",0,0,0,0,0,0,0,0,0
"ENSG00000226804",0,0,0,0,0,0,0,0,0
"ENSG00000285325",0,0,0,0,0,0,0,2,1
"ENSG00000230728",0,0,0,0,0,0,0,0,0
"ENSG00000232846",0,0,0,0,0,0,0,0,0
"ENSG00000230787",0,0,0,0,0,0,2,0,0
"ENSG00000116641",894,568,623,310,446,784,871,504,603
"ENSG00000223920",0,0,0,0,0,0,0,0,0
"ENSG00000237453",0,0,0,0,0,0,0,0,0
"ENSG00000172260",120,74,72,44,23,32,91,20,22
"ENSG00000285473",0,0,4,0,0,1,0,0,0
"ENSG00000237959",0,0,0,0,0,0,0,0,0
"ENSG00000231364",0,0,0,0,0,0,0,0,0
"ENSG00000234578",5,1,6,0,0,1,3,0,2
"ENSG00000117480",229,273,323,233,330,380,266,360,349
"ENSG00000137944",1059,955,846,677,558,960,687,419,546
"ENSG00000229505",0,0,0,0,0,0,0,0,0
"ENSG00000228187",0,0,0,0,0,0,0,0,0
"ENSG00000285201",0,0,0,0,0,0,2,1,0
"ENSG00000182183",11,13,9,18,33,16,7,16,4
"ENSG00000236407",0,0,0,0,0,0,0,0,0
"ENSG00000271949",0,0,0,0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0,0,0,0
"ENSG00000067334",2104,1732,1230,1332,979,1331,2050,1174,1198
"ENSG00000235011",0,0,0,0,0,0,0,0,0
"ENSG00000235673",0,0,0,0,0,0,0,0,0
"ENSG00000226938",0,0,0,0,0,0,0,0,0
"ENSG00000213559",0,0,0,0,0,0,0,0,0
"ENSG00000287587",0,0,0,0,6,4,0,0,0
"ENSG00000142949",9804,4786,9959,4509,7380,8457,9815,5266,6148
"ENSG00000116133",17698,11730,8056,8539,9319,12612,16900,8671,8962
"ENSG00000232882",18,14,18,6,21,12,33,20,11
"ENSG00000171502",16,9,27,16,19,26,22,10,12
"ENSG00000162399",11,12,27,29,5,29,12,14,4
"ENSG00000116157",215,163,196,171,137,123,305,204,264
"ENSG00000143036",60,60,67,42,62,67,58,61,39
"ENSG00000232672",0,0,0,0,0,0,0,0,0
"ENSG00000230817",0,0,2,0,0,0,0,0,0
"ENSG00000065243",750,401,611,449,529,674,622,450,456
"ENSG00000226759",0,2,0,0,0,0,4,0,0
"ENSG00000226960",0,0,0,0,0,0,0,0,0
"ENSG00000234080",2,0,0,0,0,0,0,0,0
