Geneid,SK7A-SGN-1,SK7A-SGN-2,SK7A-SGN-3,SK7AC48-SGN-1,SK7AC48-SGN-2,SK7AC48-SGN-3,SK8A-SGN-1,SK8A-SGN-2,SK8A-SGN-3
ENSG00000162512,6516,21705,10956,11121,12440,12380,18750,24275,24769
ENSG00000158006,616,304,347,323,325,180,177,146,241
ENSG00000214812,0,0,0,0,0,0,0,0,0
ENSG00000126698,2406,1886,1498,1740,1257,1477,1716,2168,2338
ENSG00000229447,5,12,0,4,7,6,1,3,16
ENSG00000229607,0,0,0,0,0,0,0,0,0
ENSG00000130766,0,0,0,0,0,0,0,0,0
ENSG00000168528,2041,2310,2617,2766,2528,2167,2372,1291,1432
ENSG00000196581,175,1738,136,739,446,618,270,633,975
ENSG00000169403,68,2,8,6,10,10,0,20,14
ENSG00000084628,795,3335,935,1048,1172,2131,3278,4114,3494
ENSG00000060688,1924,1082,948,686,603,901,774,802,798
ENSG00000171612,528,555,401,366,275,365,393,823,541
ENSG00000270927,0,0,0,0,0,0,0,0,0
ENSG00000188910,0,0,0,0,0,0,4,3,0
ENSG00000230523,0,0,0,2,8,4,0,0,0
ENSG00000116138,745,594,701,369,551,438,242,552,639
ENSG00000158161,1147,882,714,654,725,755,416,563,732
ENSG00000142684,926,582,583,621,652,504,937,458,408
ENSG00000121769,542,951,1129,649,751,1641,998,840,517
ENSG00000142627,2029,1138,2085,2503,2630,1043,1103,536,593
ENSG00000284668,0,0,0,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,0,0
ENSG00000142632,601,126,375,231,251,108,170,72,103
ENSG00000234593,0,0,0,4,2,0,2,4,2
ENSG00000158292,1406,4089,1932,2400,2430,3207,4002,4366,4698
ENSG00000270605,2,0,0,0,2,0,0,0,0
ENSG00000189337,1170,3768,1810,4281,2640,2359,2206,2588,3726
ENSG00000235084,8,3,5,5,2,6,6,1,3
ENSG00000235143,0,4,1,0,0,0,0,2,1
ENSG00000225478,0,0,0,0,0,0,0,0,0
ENSG00000225077,173,135,136,86,122,101,51,70,95
ENSG00000028137,141,0,0,8,45,3,4,1,0
ENSG00000204464,0,0,0,0,0,0,0,0,0
ENSG00000233372,0,0,0,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0,0,0,0
ENSG00000284543,4,1,0,0,0,0,1,0,0
ENSG00000130939,2594,2110,1682,1350,1554,1509,943,1607,1620
ENSG00000175147,469,914,212,973,659,571,866,886,1084
ENSG00000127472,4,6,0,12,14,1,10,4,17
ENSG00000060656,3308,7100,6877,5841,5366,5028,4543,4725,5321
ENSG00000163867,171,178,167,130,189,109,106,245,173
ENSG00000232768,1,0,0,0,0,0,0,0,0
ENSG00000230214,0,0,0,0,0,0,0,0,0
ENSG00000189280,23,2,6,0,0,0,3,14,0
ENSG00000134698,810,1635,637,890,813,781,684,1627,2485
ENSG00000134690,1234,204,313,175,242,223,122,55,91
ENSG00000272420,2,4,8,7,2,0,14,0,5
ENSG00000132881,193,296,134,183,207,228,223,301,275
ENSG00000273274,52,274,38,102,123,135,137,359,407
ENSG00000116251,2890,3226,3099,2491,2426,2132,1928,2522,2588
ENSG00000272510,42,32,29,20,34,20,7,11,22
ENSG00000158286,405,342,307,404,491,366,307,223,278
ENSG00000236648,0,0,0,0,0,0,0,2,0
ENSG00000232273,0,0,3,0,0,0,0,0,0
ENSG00000009709,70,94,4,50,4,116,43,29,66
ENSG00000287396,0,0,0,0,0,0,0,0,0
ENSG00000223589,0,0,0,0,0,0,0,0,0
ENSG00000158008,193,335,121,330,319,279,273,195,262
ENSG00000130940,430,1347,545,666,992,1500,691,585,918
ENSG00000116771,66,11,29,19,7,19,5,8,21
ENSG00000237301,7,10,5,2,0,4,13,15,13
ENSG00000163879,310,1234,342,1276,552,1012,431,524,851
ENSG00000227527,7,5,7,7,6,2,7,0,4
ENSG00000116954,549,507,649,414,461,401,504,715,363
ENSG00000228589,173,500,122,68,60,227,117,158,134
ENSG00000163873,846,1515,268,744,1582,1138,1986,1171,2799
ENSG00000117215,0,0,0,0,0,0,0,0,0
ENSG00000196449,937,454,393,390,287,351,411,420,363
ENSG00000230163,40,57,48,56,38,34,38,68,78
ENSG00000227538,0,0,0,0,0,0,0,0,0
ENSG00000236500,0,1,0,0,0,0,0,0,0
ENSG00000044012,4,0,0,0,0,0,0,0,0
ENSG00000179051,123,27,47,43,34,22,17,39,242
ENSG00000215895,7,3,3,3,7,0,0,0,4
ENSG00000284650,0,0,0,2,0,0,0,2,0
ENSG00000237329,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0,2
ENSG00000126067,4712,3776,2994,2915,2502,3042,2941,3264,2902
ENSG00000274944,0,0,0,0,0,0,0,0,1
ENSG00000132906,1005,775,543,793,583,620,600,733,688
ENSG00000197312,1499,945,902,497,602,590,220,536,691
ENSG00000284748,0,12,0,7,4,0,4,0,2
ENSG00000272078,236,592,254,275,467,638,405,291,510
ENSG00000173660,6376,3708,2775,3347,2630,3140,3189,3965,3257
ENSG00000224592,25,3,1,2,13,5,30,42,37
ENSG00000233728,346,1453,313,574,529,1045,1339,2029,1456
ENSG00000230451,0,0,0,0,0,0,0,0,0
ENSG00000231606,0,0,0,2,0,0,0,0,0
ENSG00000215900,0,0,0,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,2,0,0
ENSG00000241014,8,9,9,4,6,3,10,5,10
ENSG00000054118,5376,4241,3708,3077,3025,2460,1883,3073,3531
ENSG00000254553,0,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,1,0,2,0,0
ENSG00000237749,4,0,1,0,0,0,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0,0
ENSG00000284705,10,0,2,4,5,6,16,22,4
ENSG00000228776,0,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,0,0,0,0,0,0
ENSG00000197982,1395,1765,2073,1815,1279,1247,2119,2147,1784
ENSG00000261781,0,0,0,0,0,0,0,0,0
ENSG00000183317,131,1099,174,548,510,611,884,1068,1571
ENSG00000183386,852,641,1167,743,546,601,412,538,476
ENSG00000284743,0,0,0,0,0,0,0,0,0
ENSG00000158315,1,18,8,12,6,28,24,13,11
ENSG00000204084,740,552,593,389,401,328,249,320,421
ENSG00000186973,32,164,35,210,16,172,42,16,61
ENSG00000146463,2852,3066,1848,1995,2336,1737,1016,2637,3024
ENSG00000183520,939,618,607,545,422,424,364,678,541
ENSG00000271741,0,0,0,0,0,0,0,0,0
ENSG00000214141,0,0,0,0,2,0,0,0,2
ENSG00000142686,270,932,470,407,452,1072,491,617,499
ENSG00000224751,0,0,0,0,0,0,0,0,0
ENSG00000117148,7,0,0,0,0,0,4,0,6
ENSG00000230585,2,0,0,0,5,0,1,5,3
ENSG00000117000,1127,1298,922,749,697,818,441,913,1094
ENSG00000284989,0,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,2,0,0,0
ENSG00000092853,714,238,158,106,161,141,76,142,163
ENSG00000255811,0,0,1,2,0,0,0,1,0
ENSG00000134697,2374,1428,1548,1144,988,1037,846,1141,1087
ENSG00000187513,2,2,0,8,2,0,2,2,2
ENSG00000238145,0,0,0,0,0,0,0,0,0
ENSG00000225142,0,0,0,0,0,0,0,0,0
ENSG00000230138,0,0,0,0,0,0,0,0,0
ENSG00000223390,175,155,155,104,94,76,130,114,144
ENSG00000284720,3,0,0,0,0,0,0,0,0
ENSG00000225671,0,0,1,0,0,0,0,0,0
ENSG00000116151,345,517,221,477,400,391,269,246,348
ENSG00000226147,0,0,0,0,0,0,0,0,0
ENSG00000006555,2,0,0,0,0,0,0,4,4
ENSG00000236111,0,0,0,0,0,0,0,0,0
ENSG00000066056,671,171,123,42,125,91,95,88,97
ENSG00000214114,384,144,93,225,85,80,49,96,126
ENSG00000116544,153,1336,72,413,276,565,922,1626,1863
ENSG00000231900,0,0,0,0,0,0,0,0,0
ENSG00000236723,612,384,228,397,356,431,358,279,330
ENSG00000232467,0,0,0,0,0,0,0,0,0
ENSG00000117016,1240,8522,2047,1884,3065,5162,4145,7572,7921
ENSG00000121310,210,65,44,60,100,67,60,65,68
ENSG00000169213,2454,8822,1725,2228,2754,3659,4167,8832,10036
ENSG00000163866,1264,1028,755,795,633,769,759,795,680
ENSG00000225779,0,0,0,0,0,0,0,0,0
ENSG00000284601,0,0,0,4,0,0,0,0,0
ENSG00000237130,0,0,0,0,0,0,0,0,0
ENSG00000143001,6,2,3,2,0,8,2,0,0
ENSG00000227416,0,0,0,0,0,2,0,0,0
ENSG00000232335,79,24,24,10,30,13,13,17,16
ENSG00000260971,0,0,1,6,6,1,6,3,0
ENSG00000259832,0,0,0,0,0,0,0,0,0
ENSG00000284696,0,1,0,0,2,5,0,1,0
ENSG00000238242,0,0,0,0,1,0,2,0,0
ENSG00000285839,0,0,0,0,0,0,0,0,0
ENSG00000237290,0,2,0,0,0,2,0,0,1
ENSG00000232762,0,1,0,0,0,0,0,0,2
ENSG00000117419,2223,2505,1978,2372,1636,1940,2469,2425,2313
ENSG00000162384,1161,960,803,1010,672,847,742,864,901
ENSG00000162391,208,10,44,59,40,39,36,15,37
ENSG00000174348,106,179,1265,305,410,257,143,143,142
ENSG00000117859,3694,2663,2781,2181,2042,1830,1136,2018,2068
ENSG00000228121,0,1,0,0,0,0,0,0,1
ENSG00000253313,250,0,10,0,0,4,0,0,3
ENSG00000162396,350,289,164,226,187,297,215,214,210
ENSG00000203995,155,38,20,8,22,10,10,12,36
ENSG00000284686,1,0,0,0,1,1,0,2,0
ENSG00000162378,866,2031,891,776,1074,906,588,1883,2357
ENSG00000233079,0,0,2,0,0,0,0,0,0
ENSG00000259818,2,6,2,4,4,2,0,0,0
ENSG00000229444,0,0,5,0,2,0,0,0,0
ENSG00000240563,3870,0,155,6,6,13,45,8,2
ENSG00000234318,1,0,1,0,0,2,0,0,0
ENSG00000284773,10,20,27,45,10,22,12,14,15
ENSG00000234481,0,0,0,0,0,0,0,0,0
ENSG00000117862,414,262,297,256,255,242,180,123,172
ENSG00000235612,0,0,0,0,0,0,0,0,0
ENSG00000228369,0,0,2,0,0,2,0,2,0
ENSG00000183431,4201,2280,2196,1915,1605,1789,1585,1652,1860
ENSG00000227485,0,0,0,0,0,0,0,0,0
ENSG00000224609,18,16,10,24,28,33,14,32,44
ENSG00000235545,4,8,6,6,2,4,3,7,4
ENSG00000236646,0,0,0,0,0,0,0,0,0
ENSG00000232198,0,0,0,0,0,0,0,0,0
ENSG00000238063,0,3,0,0,0,1,0,2,5
ENSG00000227104,0,0,0,0,0,0,0,0,0
ENSG00000243725,11,20,13,21,12,23,19,13,27
ENSG00000171872,8,6,12,0,12,3,4,0,0
ENSG00000162407,5891,3475,4842,3381,4304,2490,1940,1480,1913
ENSG00000285079,0,0,0,0,0,0,0,0,0
ENSG00000169218,274,156,25,320,82,119,58,35,140
ENSG00000163877,760,577,419,400,357,380,272,383,418
ENSG00000228929,95,40,82,65,49,38,69,42,28
ENSG00000224570,4,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,4,0,1,0,0,0,0
ENSG00000157184,1155,839,396,715,533,581,488,531,719
ENSG00000198815,1895,2175,1520,1477,1638,1435,968,1571,2035
ENSG00000134744,2008,1792,1227,1320,1408,1237,954,1315,1647
ENSG00000233910,0,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,4,2,0
ENSG00000283039,0,0,0,0,0,0,0,0,0
ENSG00000229032,0,0,0,0,0,0,0,0,0
ENSG00000229294,0,10,0,0,0,0,1,1,8
ENSG00000232993,18,29,179,43,54,27,20,21,13
ENSG00000234088,0,0,0,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,1,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0,0
ENSG00000271200,1,3,1,7,4,1,11,8,17
ENSG00000235446,0,0,0,0,0,0,0,0,0
ENSG00000261196,0,0,0,0,0,0,0,0,0
ENSG00000162385,1284,517,572,563,399,597,488,341,389
ENSG00000234264,8,0,0,0,0,0,0,0,0
ENSG00000242391,12,0,2,0,0,1,1,2,8
ENSG00000223883,1,0,0,0,1,0,0,0,0
ENSG00000284808,0,4,0,0,0,4,0,0,2
ENSG00000237227,2,0,0,0,0,0,2,0,0
ENSG00000275350,0,0,0,0,0,0,0,0,0
ENSG00000116652,2,19,4,13,21,17,2,5,33
ENSG00000123080,94,80,191,132,134,126,74,26,22
ENSG00000285778,0,6,2,4,2,0,6,22,6
ENSG00000233407,0,0,0,0,0,0,0,0,0
ENSG00000225675,4,21,2,5,2,10,5,24,4
ENSG00000237622,0,0,0,0,0,0,0,0,0
ENSG00000162598,4,0,0,2,1,2,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0,0
ENSG00000162415,286,1404,511,364,422,891,581,1091,1383
ENSG00000162600,155,77,60,86,83,67,32,46,73
ENSG00000116704,967,480,690,385,506,344,189,317,431
ENSG00000227644,0,0,8,2,0,6,0,0,2
ENSG00000157193,506,2423,485,884,985,1335,978,2235,2614
ENSG00000116205,479,482,231,340,401,346,225,332,429
ENSG00000198841,69,29,66,34,30,26,67,76,76
ENSG00000116212,1275,894,1155,799,1024,738,763,619,756
ENSG00000234204,0,0,0,0,0,0,0,0,0
ENSG00000233099,11,9,6,2,22,0,136,24,0
ENSG00000233994,0,1,4,4,2,0,0,3,1
ENSG00000233973,0,0,0,0,0,0,0,0,0
ENSG00000237552,0,8,0,0,0,0,0,0,0
ENSG00000132854,2106,792,3524,1773,1831,1027,212,370,345
ENSG00000227556,0,0,0,0,0,0,0,0,0
ENSG00000162607,1359,665,871,514,590,424,219,330,538
ENSG00000233602,0,1,2,0,0,0,0,6,0
ENSG00000233271,2,0,3,8,0,0,0,0,2
ENSG00000285954,0,0,0,0,0,0,0,2,0
ENSG00000233333,0,0,0,0,0,0,0,0,0
ENSG00000154027,95,738,69,288,164,415,666,2171,1130
ENSG00000234108,0,0,0,0,0,0,0,0,0
ENSG00000232676,1,0,0,0,0,0,0,0,0
ENSG00000225167,0,0,0,0,0,0,0,0,0
ENSG00000213579,0,0,0,0,0,0,0,0,0
ENSG00000137960,16,13,6,2,9,12,7,11,18
ENSG00000237852,1,2,0,2,0,0,0,3,0
ENSG00000116745,47,1067,193,1360,637,1247,234,192,1170
ENSG00000132855,14,2,0,0,0,0,0,3,0
ENSG00000285407,36,0,0,4,0,2,0,4,2
ENSG00000272855,2,4,5,0,4,0,8,4,6
ENSG00000270549,6,0,1,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0,0
ENSG00000116675,464,7299,504,1868,1210,2675,2383,9442,9072
ENSG00000162433,1544,1102,1804,985,859,606,394,913,726
ENSG00000213625,1750,1642,1982,1574,1716,1104,717,1107,1116
ENSG00000227207,0,0,0,0,0,0,0,0,0
ENSG00000227016,0,6,0,0,0,0,0,0,0
ENSG00000233664,0,0,0,0,0,0,0,0,0
ENSG00000158966,1502,2855,1913,2052,2128,2011,1033,1693,2400
ENSG00000213703,0,0,0,0,0,0,0,0,0
ENSG00000203965,184,344,171,259,195,261,138,370,410
ENSG00000223479,0,1,0,0,0,0,6,0,0
ENSG00000233674,0,2,0,0,0,0,0,0,0
ENSG00000153898,9,4,14,4,12,8,6,10,0
ENSG00000117069,274,1105,1703,631,435,865,508,1159,1658
ENSG00000125703,253,108,125,288,192,96,93,198,247
ENSG00000285041,0,0,0,0,0,0,0,0,0
ENSG00000285808,0,0,1,0,0,1,0,0,0
ENSG00000229440,0,0,0,0,0,0,0,0,0
ENSG00000234144,0,0,0,0,0,0,4,0,6
ENSG00000213540,0,4,0,0,0,0,0,2,2
ENSG00000277670,0,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0,0
ENSG00000154007,0,0,0,0,0,0,0,0,0
ENSG00000230498,0,12,2,2,2,10,0,0,0
ENSG00000285782,0,0,0,0,0,0,0,0,1
ENSG00000162618,40,24,31,6,26,6,6,45,26
ENSG00000224493,0,0,0,0,0,0,0,0,0
ENSG00000131233,0,0,0,0,0,0,0,0,0
ENSG00000272371,0,1,4,0,0,7,0,0,0
ENSG00000287647,0,0,0,4,0,0,0,0,0
ENSG00000229225,0,0,0,0,0,0,0,0,0
ENSG00000230863,4,1,0,2,0,0,0,0,0
ENSG00000287224,0,0,0,0,0,0,0,0,2
ENSG00000225598,1,0,0,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0,0,0,0
ENSG00000225087,22,2,0,1,1,10,0,0,8
ENSG00000280378,4,2,0,10,3,2,6,13,17
ENSG00000188786,748,620,445,402,547,397,180,331,522
ENSG00000230053,0,0,0,0,0,0,0,0,0
ENSG00000137941,200,883,203,337,489,653,281,762,849
ENSG00000224326,0,0,0,0,0,2,0,0,0
ENSG00000286548,13,10,0,0,1,3,4,4,10
ENSG00000066135,1632,1580,1114,1025,1174,988,1197,1364,1414
ENSG00000230027,0,4,0,0,2,0,0,0,4
ENSG00000233061,0,0,0,0,0,0,0,0,0
ENSG00000272094,0,0,0,0,0,0,0,0,0
ENSG00000228853,0,0,0,0,0,0,0,0,0
ENSG00000215874,0,0,0,0,0,0,0,0,0
ENSG00000232453,2,4,2,9,0,6,0,0,0
ENSG00000260386,0,0,0,1,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0,0,0,0
ENSG00000117174,689,491,553,449,454,316,279,435,632
ENSG00000237413,0,0,0,4,0,0,0,0,0
ENSG00000184313,6,8,3,13,18,14,13,8,2
ENSG00000284645,0,6,0,0,0,4,2,0,2
ENSG00000225605,0,0,0,0,0,0,0,0,0
ENSG00000225446,0,21,0,10,3,6,18,7,31
ENSG00000288543,0,19,16,5,2,8,10,11,31
ENSG00000122420,96,114,47,29,55,47,54,163,155
ENSG00000284240,0,0,0,0,0,0,0,0,0
ENSG00000236290,6,4,0,6,0,8,2,0,0
ENSG00000143013,2742,3165,2543,3174,2198,2873,2087,2061,2685
ENSG00000226084,151,115,146,136,97,111,99,84,78
ENSG00000134748,1884,1479,993,1251,898,1101,645,1009,1266
ENSG00000142892,848,872,1028,709,872,536,343,781,812
ENSG00000219102,2,7,3,4,1,0,2,4,0
ENSG00000184005,1873,2170,1656,1105,2519,1233,1062,1486,1820
ENSG00000230953,0,0,0,0,2,0,0,0,0
ENSG00000287743,8,13,1,11,4,6,23,19,12
ENSG00000229332,0,0,0,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0,0,0,0
ENSG00000229752,0,0,0,0,0,0,0,0,0
ENSG00000237505,35,4,4,6,2,12,0,0,0
ENSG00000285462,0,0,0,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,0,0,0,0,0
ENSG00000197273,2,0,0,0,0,0,0,0,0
ENSG00000226804,0,0,0,0,0,0,0,0,0
ENSG00000285325,0,0,0,0,0,0,0,0,0
ENSG00000230728,0,3,0,0,0,0,0,0,0
ENSG00000232846,0,0,2,0,0,0,0,0,0
ENSG00000230787,0,0,0,0,2,6,0,0,0
ENSG00000116641,2355,2552,1903,1550,1875,1648,935,1993,2232
ENSG00000223920,6,0,0,2,0,0,0,0,0
ENSG00000237453,0,0,0,0,0,0,0,0,0
ENSG00000172260,64,1884,347,525,447,670,659,1196,1594
ENSG00000285473,0,0,0,0,0,0,0,0,0
ENSG00000237959,0,0,0,0,0,0,0,0,0
ENSG00000231364,0,0,0,0,0,0,0,0,0
ENSG00000234578,0,5,1,2,0,4,0,0,1
ENSG00000117480,183,983,130,580,348,551,1003,1190,1161
ENSG00000137944,1224,1066,801,880,806,790,725,841,774
ENSG00000229505,0,0,0,0,0,0,0,0,0
ENSG00000228187,0,0,0,0,0,0,0,0,0
ENSG00000285201,0,1,0,0,0,0,0,8,0
ENSG00000182183,10,12,0,4,4,4,4,10,5
ENSG00000236407,0,0,0,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0,0
ENSG00000067334,1698,1009,874,764,714,735,542,846,957
ENSG00000235011,0,0,0,0,0,0,0,0,0
ENSG00000235673,0,0,0,0,0,0,0,0,0
ENSG00000226938,0,0,0,0,0,0,0,0,0
ENSG00000213559,0,0,0,0,0,0,0,0,0
ENSG00000287587,0,2,0,2,0,3,1,2,0
ENSG00000142949,17988,15476,11536,10416,14134,11155,9256,10891,13795
ENSG00000116133,14061,18506,13909,12912,10665,13515,6843,8309,11798
ENSG00000232882,40,33,14,18,23,18,4,10,20
ENSG00000171502,50,137,49,129,245,96,22,22,74
ENSG00000162399,25,6,4,6,4,0,2,1,0
ENSG00000116157,63,25,40,55,30,57,16,13,18
ENSG00000143036,449,311,401,483,331,249,227,404,428
ENSG00000232672,0,0,0,0,0,0,0,0,0
ENSG00000230817,2,1,1,0,4,0,0,0,0
ENSG00000065243,1609,883,689,698,868,520,183,395,702
ENSG00000226759,0,0,0,0,0,2,0,0,0
ENSG00000226960,0,0,0,0,0,0,0,0,0
ENSG00000234080,5,0,0,0,0,4,1,0,0
ENSG00000237899,0,4,0,11,0,0,5,0,1
ENSG00000223905,0,0,0,0,0,0,0,0,0
ENSG00000227290,0,0,0,4,0,0,2,1,0
ENSG00000229486,0,0,0,0,0,0,0,0,0
ENSG00000282898,0,0,0,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0,0,0,0
