Geneid,SK7A-1,SK7A-2,SK7A-3,SK8A-1,SK8A-2,SK8A-3,SK8A-4,SK8A-5,SK8A-6,Wi-1,Wi-2,Wi-3
ENSG00000174384,5,8,8,11,9,14,4,0,0,0,0,1
ENSG00000174403,404,221,264,181,292,233,92,57,4,32,8,177
ENSG00000174405,2552,3411,3778,2696,3004,2941,433,439,88,295,351,349
ENSG00000174407,13,12,14,9,12,10,8,4,0,1,0,21
ENSG00000174408,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174417,7,15,3,3,0,2,2,0,0,2,0,0
ENSG00000174418,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174428,796,896,1019,633,705,964,168,254,28,242,338,321
ENSG00000174429,0,4,0,0,0,0,0,0,0,2,0,4
ENSG00000174437,29471,44142,51367,38461,35654,34659,7494,7180,1519,5776,4731,6361
ENSG00000174442,2987,3573,3749,3938,2027,2106,346,352,66,365,266,590
ENSG00000174444,72913,82645,103194,75585,72042,67297,19059,17028,3393,13547,19962,19066
ENSG00000174446,704,731,704,514,480,508,137,134,19,134,173,210
ENSG00000174448,19,17,30,49,14,5,0,5,0,1,6,3
ENSG00000174450,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174453,4,0,0,0,0,0,0,0,0,2,0,0
ENSG00000174456,1377,1535,1741,1042,1255,1164,283,246,51,98,205,230
ENSG00000174460,476,254,457,83,143,241,48,54,18,131,67,376
ENSG00000174469,411,997,1747,1836,1012,714,184,150,39,21,65,29
ENSG00000174473,40,58,83,29,44,26,17,2,0,0,8,6
ENSG00000174482,111,75,83,70,85,40,8,8,0,52,92,35
ENSG00000174483,172,212,164,112,158,113,22,17,1,22,29,29
ENSG00000174485,2647,3155,3121,1428,1819,2582,292,417,52,176,211,210
ENSG00000174495,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174498,2666,3282,2170,3687,1722,2246,422,513,66,808,1607,798
ENSG00000174500,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000174501,604,881,830,701,640,484,54,31,8,18,36,61
ENSG00000174502,4,0,8,3,0,4,0,0,0,0,0,0
ENSG00000174514,63,66,52,33,45,39,2,4,0,12,22,2
ENSG00000174516,530,475,677,290,427,486,106,104,15,126,129,92
ENSG00000174521,9,22,17,7,17,12,12,14,0,12,0,13
ENSG00000174527,80,71,45,48,27,26,5,2,2,9,4,6
ENSG00000174529,146,176,269,136,153,199,42,14,9,12,23,22
ENSG00000174547,1563,1420,1818,1277,1058,1227,307,299,58,191,282,505
ENSG00000174562,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174564,75,136,143,253,129,76,16,30,1,8,10,20
ENSG00000174567,14,4,14,12,1,4,3,0,0,8,7,16
ENSG00000174572,1,4,10,0,0,0,0,0,0,0,0,2
ENSG00000174574,12935,16713,19152,14923,13956,13488,2904,2547,532,1611,2089,2154
ENSG00000174576,94,81,62,38,52,44,6,8,2,18,10,26
ENSG00000174579,1890,2165,2480,1786,1549,1604,289,269,62,204,154,289
ENSG00000174586,438,472,582,305,412,412,96,79,14,78,75,104
ENSG00000174599,205,199,216,168,177,185,26,25,6,17,66,67
ENSG00000174600,8,12,6,0,0,0,0,0,0,3,0,2
ENSG00000174606,2119,2587,2512,2032,1791,1796,236,282,47,213,296,303
ENSG00000174607,332,487,807,239,330,177,54,31,6,2,37,34
ENSG00000174611,55,16,26,14,3,8,2,0,0,1,0,2
ENSG00000174628,1342,1002,1334,620,877,770,132,155,32,262,445,390
ENSG00000174640,72,163,117,176,85,97,24,20,8,742,732,297
ENSG00000174652,2123,2530,2030,1947,1787,1764,427,303,64,441,512,551
ENSG00000174667,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174669,2521,2030,2021,1078,990,1193,238,282,44,297,440,493
ENSG00000174672,1599,2033,1486,1258,976,865,342,237,57,123,229,337
ENSG00000174677,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174678,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174680,28,26,5,20,15,18,5,4,2,12,5,2
ENSG00000174684,4315,3870,5153,3029,3368,3636,1164,1056,218,355,355,700
ENSG00000174695,12423,20425,23101,16271,18123,16494,2544,2378,484,2010,2626,2343
ENSG00000174697,2,0,0,0,2,0,0,0,0,0,0,0
ENSG00000174705,8572,9968,12884,7749,7196,6670,1415,1209,282,1938,1483,1460
ENSG00000174715,1,10,9,4,7,2,0,0,0,0,0,0
ENSG00000174718,2262,2770,2735,2646,1627,1789,238,223,38,351,325,451
ENSG00000174720,4211,4567,4818,3632,3255,3205,542,508,126,463,690,718
ENSG00000174721,5358,4853,3641,2557,1738,3218,503,737,102,227,69,753
ENSG00000174738,5188,5170,5249,4226,3280,4034,438,463,122,398,440,692
ENSG00000174740,260,298,393,369,464,404,84,70,5,27,59,57
ENSG00000174744,1951,2245,2676,2276,2083,2127,619,562,113,527,702,577
ENSG00000174748,54397,59550,77197,50641,53341,52888,12895,11759,2270,9153,15272,13128
ENSG00000174749,357,392,639,379,449,486,70,101,26,100,113,120
ENSG00000174775,87,96,90,119,76,65,46,77,5,54,77,71
ENSG00000174776,4,5,2,2,5,0,0,0,0,0,2,1
ENSG00000174780,10002,12497,14653,10370,10035,9811,1548,1514,322,1317,1228,1578
ENSG00000174788,38,50,53,47,26,20,7,4,0,8,15,16
ENSG00000174791,364,518,460,645,347,336,90,86,22,105,165,68
ENSG00000174792,7,195,352,401,872,162,165,17,15,1493,901,356
ENSG00000174796,960,1511,1566,933,1029,1151,183,187,47,178,176,131
ENSG00000174799,1574,1981,1812,1740,1186,1300,166,201,49,139,62,191
ENSG00000174804,2292,4597,5106,5206,5342,4017,888,718,143,296,174,257
ENSG00000174807,1255,868,915,2290,783,809,299,230,47,83,87,197
ENSG00000174808,15,7,7,14,6,0,4,0,0,0,0,2
ENSG00000174827,82,74,60,60,42,36,0,4,0,10,11,11
ENSG00000174837,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174839,1836,2338,2519,1663,1634,1726,208,233,50,238,289,308
ENSG00000174840,2428,3168,3949,2304,2678,2675,431,370,77,260,286,318
ENSG00000174842,1078,1280,1202,1067,984,806,179,112,46,126,152,187
ENSG00000174844,25,35,43,24,25,12,2,4,0,4,6,1
ENSG00000174851,2634,3156,4537,3170,3646,3434,1293,1175,230,1134,1488,1050
ENSG00000174871,1105,1346,1940,1021,1270,870,327,293,51,140,133,121
ENSG00000174876,4,0,1,0,0,0,0,0,0,6,4,0
ENSG00000174885,11,4,5,0,3,0,0,0,0,0,0,0
ENSG00000174886,627,956,647,473,453,398,167,128,44,333,319,395
ENSG00000174891,1473,1420,1712,1142,992,970,190,195,33,188,214,221
ENSG00000174898,9,3,2,6,3,0,0,0,0,0,0,2
ENSG00000174899,0,0,0,2,0,0,0,0,0,0,6,0
ENSG00000174903,7360,7806,10340,8388,7682,7486,2756,2306,392,2003,2480,2026
ENSG00000174912,57,83,73,86,52,62,9,13,3,17,5,7
ENSG00000174914,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174915,765,928,854,724,613,644,218,259,33,173,146,158
ENSG00000174917,866,837,1315,755,962,1020,457,434,70,367,699,457
ENSG00000174928,29,33,34,23,28,18,4,7,1,5,10,12
ENSG00000174930,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174937,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174938,4125,6390,9508,3869,4522,4415,1270,1270,202,808,1207,713
ENSG00000174939,276,545,758,511,505,402,223,107,25,87,142,62
ENSG00000174943,1346,1713,2075,1360,1446,1224,486,375,94,323,419,359
ENSG00000174944,14,10,12,4,5,2,0,0,0,0,0,4
ENSG00000174945,26,80,69,58,67,44,1,6,2,68,20,10
ENSG00000174946,2,10,6,2,0,0,0,0,0,4,0,0
ENSG00000174948,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174950,0,2,2,2,2,0,0,2,0,0,4,2
ENSG00000174951,52,102,208,54,172,158,18,19,7,75,114,59
ENSG00000174953,4223,5184,6181,4117,4150,3879,668,585,140,362,324,511
ENSG00000174957,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174963,772,500,831,78,163,100,33,19,9,23,4,14
ENSG00000174970,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174977,514,572,633,352,468,464,103,78,20,89,190,174
ENSG00000174982,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174989,3495,4963,5857,3423,3534,3420,669,650,123,367,262,414
ENSG00000174990,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174992,0,3,0,8,2,4,0,0,0,0,4,0
ENSG00000174996,4541,5764,6689,4361,4933,4658,1871,1429,289,1231,1193,1316
ENSG00000175003,110,127,75,46,30,28,14,5,2,22,17,10
ENSG00000175018,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175029,9305,11079,12107,9208,8343,8302,1729,1563,366,1551,1641,2006
ENSG00000175040,4277,5842,7291,2105,5409,7377,1594,1992,362,278,171,860
ENSG00000175048,685,705,877,545,731,689,160,176,26,110,198,229
ENSG00000175054,2759,3477,3981,2626,2503,2326,460,317,89,263,217,335
ENSG00000175061,17060,16497,24736,18574,17563,16305,5168,4559,933,2658,3465,3649
ENSG00000175063,2858,2155,2047,2732,655,1327,245,336,57,162,47,659
ENSG00000175065,2,8,0,0,0,0,0,0,0,1,0,2
ENSG00000175066,1525,2127,2025,1675,1852,1562,157,172,30,241,362,286
ENSG00000175073,2454,3780,4659,3609,3230,3142,360,327,73,281,307,275
ENSG00000175077,2,0,0,4,4,2,0,0,0,0,0,0
ENSG00000175084,6,12,15,41,12,6,4,2,2,0,0,4
ENSG00000175087,891,891,1090,530,553,708,82,69,6,88,80,170
ENSG00000175093,2271,1469,1426,3356,994,1357,284,335,74,126,64,360
ENSG00000175097,111,126,120,65,101,68,25,25,10,31,18,25
ENSG00000175104,1577,2452,2817,2306,1942,1764,262,204,54,281,224,325
ENSG00000175105,1929,3369,3348,2009,2276,2377,288,272,48,228,288,210
ENSG00000175106,451,655,630,408,442,369,98,51,14,67,94,68
ENSG00000175110,7974,10240,10911,8195,8056,7133,1351,1197,261,1206,1637,1588
ENSG00000175115,12657,16610,18369,14175,13578,14915,2694,2957,563,1678,2028,2151
ENSG00000175121,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175130,26811,25479,34720,18518,18146,20966,4789,4743,916,4722,7877,6614
ENSG00000175137,3472,4449,5872,3945,4171,4091,1167,1035,254,745,592,753
ENSG00000175143,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175147,522,576,392,349,282,392,50,112,16,51,113,143
ENSG00000175155,1189,2775,3074,2702,2420,1768,430,398,104,161,347,147
ENSG00000175161,2774,1297,1521,669,722,1564,83,202,25,39,14,213
ENSG00000175164,0,2,0,6,0,0,0,0,0,0,2,0
ENSG00000175166,19917,27792,32747,31847,25893,21887,7586,6021,1285,4139,2888,4327
ENSG00000175170,21,17,29,11,33,29,3,7,0,12,15,6
ENSG00000175175,2265,1852,2275,1360,1238,1884,229,250,79,42,53,206
ENSG00000175182,1161,1386,1237,767,874,807,271,213,52,236,244,236
ENSG00000175183,9742,19041,19701,18383,12709,11237,3146,2630,578,2959,2971,3627
ENSG00000175189,9,9,11,6,13,8,2,3,0,0,6,2
ENSG00000175193,255,273,286,253,197,203,75,57,15,61,133,113
ENSG00000175197,1165,2012,3019,1873,2404,1963,656,485,127,261,210,386
ENSG00000175198,1669,1514,1955,1241,1421,1279,312,269,50,193,197,279
ENSG00000175202,0,0,0,0,3,1,0,0,0,0,0,0
ENSG00000175203,10133,11836,14079,9546,9905,9073,2033,1985,421,1658,1691,2010
ENSG00000175206,128,229,83,132,79,57,16,8,0,13,31,31
ENSG00000175213,828,1001,1253,989,974,786,274,230,47,275,218,319
ENSG00000175215,9719,9193,11806,8256,7894,8415,1839,1762,357,1109,1003,1382
ENSG00000175216,19390,23571,25776,20508,14916,15936,2704,2769,521,1607,1155,2540
ENSG00000175220,5493,7435,11221,8092,7302,6610,1614,1351,276,1429,1178,1234
ENSG00000175221,3733,3782,4786,3601,3331,3408,1102,1162,227,603,605,826
ENSG00000175224,6572,9189,11316,7777,8222,7823,1778,1764,343,932,925,1010
ENSG00000175229,871,695,1020,422,498,515,171,158,20,24,16,68
ENSG00000175262,2,2,1,0,0,0,0,0,0,0,0,0
ENSG00000175264,91,75,132,194,200,93,32,52,10,73,130,62
ENSG00000175265,5213,10321,6051,2735,6189,5324,1117,902,175,1005,835,2056
ENSG00000175267,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000175274,5845,7547,8218,8500,7584,7270,1779,1721,377,1034,813,1228
ENSG00000175279,51,45,64,48,35,26,6,19,0,7,15,19
ENSG00000175283,1470,1513,2103,1319,1549,1407,536,557,127,443,487,488
ENSG00000175287,284,268,305,277,179,190,43,63,10,40,76,58
ENSG00000175294,2,2,0,19,2,2,0,2,0,6,12,2
ENSG00000175302,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175305,594,620,602,367,365,355,56,55,9,52,50,73
ENSG00000175309,3993,4782,4730,3126,2922,2884,629,598,105,532,718,756
ENSG00000175311,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175315,1,0,2,2,1,0,0,0,0,46,91,31
ENSG00000175318,24,35,35,33,29,28,3,7,0,4,21,11
ENSG00000175319,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175322,1319,1069,951,791,419,495,74,70,8,33,25,144
ENSG00000175324,2094,2854,3376,2465,2427,2305,495,526,113,406,525,611
ENSG00000175325,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000175329,0,1,2,14,6,0,2,0,0,0,0,0
ENSG00000175334,5463,5273,7206,5302,4407,5207,1663,1891,314,1316,2527,2354
ENSG00000175336,4,0,10,1,6,0,0,0,0,1,3,0
ENSG00000175344,28,34,44,14,12,22,4,0,0,1,0,12
ENSG00000175348,2219,3232,3690,2602,2937,2826,699,569,104,421,583,447
ENSG00000175352,795,1508,2412,1439,1813,1345,256,218,57,80,51,72
ENSG00000175354,1997,2755,2653,1993,1928,1739,288,243,44,332,439,445
ENSG00000175356,117,159,113,116,73,73,14,18,4,6,4,17
ENSG00000175376,1442,2003,2187,1427,1595,1498,419,354,70,268,384,354
ENSG00000175387,8299,9602,11228,7406,7274,7504,1062,999,191,975,1045,1262
ENSG00000175390,14311,14612,19187,13477,12126,12988,3411,3344,534,2084,2621,2734
ENSG00000175395,919,1238,1382,665,1057,1056,154,125,39,67,68,94
ENSG00000175398,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175414,5014,7826,9851,4371,6622,6910,938,911,235,464,318,633
ENSG00000175416,3220,4734,6567,6708,5901,4982,2185,1612,343,2499,4110,2390
ENSG00000175426,20,24,35,6,27,15,2,2,0,0,5,0
ENSG00000175445,346,185,130,96,36,155,2,38,2,19,24,81
ENSG00000175449,37,17,46,44,52,52,6,0,0,8,11,1
ENSG00000175455,6360,8915,6432,4662,4437,3870,663,516,128,758,854,1148
ENSG00000175463,178,327,174,109,175,87,37,8,2,21,16,23
ENSG00000175467,3466,4420,5423,3532,3467,3542,1209,1111,217,850,1003,1094
ENSG00000175470,2786,3388,3750,2419,2445,2394,520,432,95,518,569,650
ENSG00000175471,1020,2581,3246,1418,2586,2291,437,321,71,171,161,182
ENSG00000175482,182,296,385,203,254,212,81,74,12,103,149,90
ENSG00000175485,1,4,4,0,2,2,0,0,0,0,0,0
ENSG00000175489,29,11,10,0,0,11,2,4,0,0,1,1
ENSG00000175497,1819,1309,1905,182,327,519,57,84,13,93,77,102
ENSG00000175505,931,1410,1499,859,1100,961,307,232,41,196,247,307
ENSG00000175509,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175513,15,0,2,10,0,0,2,2,0,0,0,2
ENSG00000175514,0,0,0,4,0,2,0,0,0,0,0,0
ENSG00000175518,67,23,24,16,4,6,0,0,0,5,5,14
ENSG00000175520,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000175535,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175536,253,214,286,194,202,196,58,55,5,55,96,76
ENSG00000175538,4,7,9,14,8,0,4,0,0,0,0,0
ENSG00000175544,19,14,8,4,5,2,1,0,0,0,2,13
ENSG00000175548,1541,1699,1920,800,702,846,60,93,12,40,68,44
ENSG00000175550,4700,6235,8418,7163,6921,6225,3391,2740,526,2244,3491,2849
ENSG00000175556,15,35,37,30,51,20,7,1,0,2,0,10
ENSG00000175564,136,326,168,206,158,124,45,26,10,16,31,56
ENSG00000175567,5121,6305,8256,5002,5252,5020,1637,1242,293,443,811,700
ENSG00000175573,1518,2126,2907,2126,2256,2177,918,719,154,469,499,379
ENSG00000175575,1472,1625,1860,923,1259,1278,311,363,57,172,165,239
ENSG00000175581,1255,1152,1543,999,1026,988,219,217,49,114,159,211
ENSG00000175582,11252,16565,20639,14556,17054,16479,3216,2952,644,1997,2549,2444
ENSG00000175591,74,77,93,82,61,115,15,18,3,90,91,73
ENSG00000175592,614,1695,2181,3371,1994,1804,549,420,70,210,222,171
ENSG00000175595,1711,2184,2582,1401,1782,1694,219,250,40,154,174,167
ENSG00000175600,219,384,473,493,526,384,134,78,13,87,176,35
ENSG00000175602,1183,1797,2803,2111,1776,1553,710,656,64,351,660,470
ENSG00000175604,2,2,4,0,4,0,0,0,0,0,0,0
ENSG00000175606,987,1327,1522,1136,1180,1171,339,277,49,332,353,411
ENSG00000175611,275,397,459,275,205,222,66,48,3,52,51,77
ENSG00000175619,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175634,2373,2901,3241,2567,2308,2230,712,663,130,602,745,629
ENSG00000175643,436,340,390,322,183,201,63,86,14,34,47,96
ENSG00000175646,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175658,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175662,5667,10074,9846,5257,5793,5608,1386,1295,290,935,1225,896
ENSG00000175664,18,15,5,10,6,1,4,0,0,0,0,3
ENSG00000175676,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175691,290,357,349,214,200,274,51,24,6,47,66,54
ENSG00000175697,33,52,24,38,29,27,4,16,0,3,7,18
ENSG00000175699,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175701,187,201,301,108,142,153,88,81,22,53,94,109
ENSG00000175707,0,5,0,39,4,4,0,2,0,111,252,72
ENSG00000175711,427,504,390,347,236,261,99,94,20,48,30,78
ENSG00000175718,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175727,1431,1721,2106,1316,1444,1222,394,294,70,531,470,427
ENSG00000175728,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000175730,18,23,39,32,22,17,9,1,2,6,7,6
ENSG00000175741,198,280,287,275,288,242,44,33,6,44,30,37
ENSG00000175745,9769,4353,4070,673,1269,1983,372,628,119,195,49,897
ENSG00000175746,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175749,8,1,6,12,3,4,0,0,0,0,0,0
ENSG00000175756,3141,3529,4759,3495,3354,3241,1202,1114,204,951,1425,1327
ENSG00000175764,523,740,855,710,601,581,171,131,28,75,55,123
ENSG00000175766,1,0,0,1,0,0,0,0,0,0,0,0
ENSG00000175768,153,212,115,130,94,57,10,17,4,21,5,44
ENSG00000175772,6,7,13,3,2,2,2,2,0,4,0,0
ENSG00000175773,11,5,21,9,13,16,0,2,0,2,0,5
ENSG00000175779,2,1,0,0,0,0,0,0,0,0,0,0
ENSG00000175782,1636,2373,2293,1929,1426,1642,297,310,59,241,337,251
ENSG00000175785,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000175787,248,258,277,175,188,160,30,34,2,22,39,49
ENSG00000175792,6385,7943,10405,8173,7634,6982,1845,1383,322,897,694,1238
ENSG00000175793,19,122,37,570,128,88,61,54,17,2261,6103,1765
ENSG00000175800,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000175806,53,54,48,38,42,84,9,18,6,0,9,2
ENSG00000175809,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000175820,42,50,34,44,14,22,0,0,0,2,0,2
ENSG00000175826,1708,1935,2717,1791,1709,1742,525,528,103,367,415,518
ENSG00000175832,967,1028,1181,869,1085,1017,317,283,84,349,163,487
ENSG00000175841,0,0,2,0,0,0,0,0,0,0,0,2
ENSG00000175854,1141,1377,1849,1321,1267,1259,366,264,64,203,294,318
ENSG00000175857,2,0,0,0,0,1,0,0,0,0,0,0
ENSG00000175866,2465,3599,3767,3628,3332,2792,913,754,192,493,626,717
ENSG00000175868,41,16,72,32,23,45,4,12,3,56,134,35
ENSG00000175874,20,26,15,5,11,18,0,6,1,38,16,13
ENSG00000175877,0,0,2,0,2,0,0,0,0,0,0,0
ENSG00000175879,0,4,6,2,0,0,6,0,0,2,0,4
ENSG00000175886,141,146,176,140,124,135,30,25,6,16,28,28
ENSG00000175893,2926,4411,4295,2570,2963,2863,366,314,60,358,546,456
ENSG00000175894,27,35,27,33,35,51,4,9,2,8,8,32
ENSG00000175895,769,931,940,755,652,786,97,120,22,218,230,288
ENSG00000175899,1097,839,128,252,44,74,6,7,0,26,10,65
ENSG00000175906,1368,1341,1886,962,3307,4524,1406,1807,319,454,492,1199
ENSG00000175920,108,108,47,53,28,33,18,10,4,14,4,18
ENSG00000175928,43946,49568,60418,33495,30789,35318,4877,5458,1066,2330,3364,3403
ENSG00000175931,3589,4661,4663,3426,3244,3325,742,677,135,516,517,701
ENSG00000175938,689,585,786,465,623,619,105,118,20,102,215,163
ENSG00000175946,6,6,0,0,2,2,0,0,0,0,2,0
ENSG00000175967,33,24,14,5,4,1,0,2,0,1,2,0
ENSG00000175970,6118,6217,7651,4724,4415,4644,1123,1244,196,673,492,933
ENSG00000175984,158,148,184,171,105,111,25,24,8,37,85,35
ENSG00000175985,26,17,16,18,10,20,2,2,0,4,6,4
ENSG00000176007,1,4,3,4,2,3,0,0,0,0,0,0
ENSG00000176009,2,8,1,0,3,1,0,0,0,0,0,0
ENSG00000176014,16449,28273,32122,27081,27919,26527,10399,9274,1792,7758,6908,8205
ENSG00000176018,2288,3342,3622,2728,2870,2680,422,368,84,354,415,362
ENSG00000176020,1,2,0,1,0,0,0,0,0,0,0,0
ENSG00000176022,2869,3470,4959,3154,3606,3185,1232,1057,206,814,933,978
ENSG00000176024,435,608,599,402,346,339,75,36,22,66,70,77
ENSG00000176029,14,19,17,22,13,9,2,2,0,0,0,3
ENSG00000176040,8,0,0,12,3,4,0,0,0,0,2,2
ENSG00000176043,0,0,3,0,0,2,0,0,0,0,0,0
ENSG00000176046,5,10,14,21,12,8,0,3,0,2,5,1
ENSG00000176049,3053,3280,3722,2519,2520,2435,506,437,97,77,108,316
ENSG00000176054,67,83,62,21,33,27,10,1,2,7,7,15
ENSG00000176055,741,779,1100,574,890,809,135,71,22,56,76,108
ENSG00000176058,879,952,1317,927,856,619,307,223,49,267,270,277
ENSG00000176076,4,18,11,19,7,5,1,2,0,0,2,4
ENSG00000176083,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000176087,4630,5406,7194,5443,4897,4710,1338,1221,240,921,753,922
ENSG00000176092,62,97,88,221,101,98,23,39,2,64,156,60
ENSG00000176095,4072,4492,5944,3629,3857,3720,855,825,189,571,475,677
ENSG00000176101,2149,2060,2759,1779,1847,1913,889,790,143,666,1086,978
ENSG00000176102,3795,4674,5415,3858,3557,3001,734,659,155,581,684,925
ENSG00000176105,8464,10047,11404,7903,6333,6843,893,1046,153,916,1166,1124
ENSG00000176108,1365,1445,1870,1379,1328,1340,389,351,79,337,265,374
ENSG00000176115,2,0,0,7,2,1,0,0,0,0,2,0
ENSG00000176124,176,216,224,195,147,132,22,24,11,14,30,20
ENSG00000176125,64,41,88,45,63,50,36,30,14,16,32,11
ENSG00000176134,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176136,30,2,8,8,4,2,0,4,0,4,4,0
ENSG00000176142,2623,4092,3780,2715,2676,2535,555,527,100,625,651,668
ENSG00000176148,1324,1908,2130,1862,2005,2012,277,239,70,246,313,301
ENSG00000176153,9,8,17,5,10,0,0,0,0,3,0,0
ENSG00000176155,1956,3191,2386,1818,1936,1592,467,328,116,403,504,656
ENSG00000176160,12,2,6,2,2,0,0,0,0,0,2,0
ENSG00000176165,336,110,64,267,881,665,251,202,33,38,90,434
ENSG00000176170,9118,4946,4661,1710,2491,4643,875,1605,220,742,842,1347
ENSG00000176171,3121,14083,13790,5209,12980,14824,2597,2919,523,548,738,635
ENSG00000176177,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176182,445,679,772,491,595,485,190,95,37,101,157,121
ENSG00000176183,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176194,26,8,26,12,11,13,2,4,2,6,1,4
ENSG00000176198,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000176200,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176204,82,68,45,40,38,36,10,6,2,2,25,14
ENSG00000176208,1203,1258,1117,979,456,626,61,45,13,31,36,131
ENSG00000176209,1477,1745,2017,1274,1383,1435,274,335,72,207,274,389
ENSG00000176219,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176222,305,514,493,342,345,319,50,43,11,46,28,23
ENSG00000176225,1640,1848,1629,1533,980,1012,149,147,32,120,127,217
ENSG00000176230,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176231,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176232,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176236,88,82,88,87,64,66,16,42,4,13,14,9
ENSG00000176239,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176243,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176244,1118,718,584,544,179,379,36,63,7,25,13,82
ENSG00000176246,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176248,2754,3848,3666,2588,2601,2358,849,794,127,702,763,817
ENSG00000176253,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176256,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176261,1466,1752,1874,1371,1475,1269,294,279,60,234,278,312
ENSG00000176268,16,8,5,7,8,2,3,2,0,3,2,5
ENSG00000176269,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000176273,1818,1738,1714,693,712,1068,126,222,36,250,136,610
ENSG00000176281,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176289,37,37,38,33,57,33,11,10,2,25,26,40
ENSG00000176290,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176293,1704,2293,2474,1673,1815,1940,491,467,120,428,490,583
ENSG00000176294,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176299,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176302,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176312,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176318,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176320,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000176340,879,827,1334,1064,954,860,502,400,87,354,519,506
ENSG00000176343,0,0,2,0,0,1,0,0,0,0,0,0
ENSG00000176349,8,6,8,18,3,4,0,2,0,0,0,0
ENSG00000176358,15,13,1,12,6,6,3,1,0,1,2,0
ENSG00000176371,1440,1428,1803,893,1090,1144,262,240,38,200,199,239
ENSG00000176378,2,5,2,0,0,6,0,0,0,0,0,0
ENSG00000176381,63,49,162,87,75,87,11,16,6,5,11,8
ENSG00000176383,2657,3480,4218,2853,2969,2810,739,616,111,483,862,607
ENSG00000176386,563,586,646,431,520,499,158,137,21,122,132,243
ENSG00000176387,29,17,25,13,10,10,2,4,0,8,2,8
ENSG00000176390,1084,1297,1420,955,881,886,125,129,18,112,99,194
